hex,count_good_aircraft,count_bad_aircraft
8401043ffffffff,4,0
8401047ffffffff,4,0
8401049ffffffff,2,0
840104bffffffff,2,0
8401059ffffffff,2,0
840105dffffffff,6,0
8401069ffffffff,1,0
840106bffffffff,3,0
8401201ffffffff,3,0
8401207ffffffff,3,0
840120dffffffff,2,0
8401225ffffffff,3,2
8401227ffffffff,3,0
8401231ffffffff,3,0
8401233ffffffff,3,0
8401239ffffffff,3,0
840124bffffffff,1,0
8401261ffffffff,3,1
8401267ffffffff,1,0
840126dffffffff,1,0
84012c1ffffffff,2,0
84012c3ffffffff,1,0
84012c9ffffffff,1,0
84012cbffffffff,3,0
8401351ffffffff,4,1
8401353ffffffff,1,0
8401359ffffffff,2,0
840135dffffffff,4,1
8404841ffffffff,1,0
8404845ffffffff,1,0
8404849ffffffff,1,0
840484bffffffff,1,0
840484dffffffff,1,0
8404a31ffffffff,1,0
8404a33ffffffff,1,0
8404a35ffffffff,1,0
8404a37ffffffff,1,0
8404a3bffffffff,1,0
8404a43ffffffff,1,0
8404a55ffffffff,1,0
8404ae9ffffffff,1,0
8404aedffffffff,1,0
8404b13ffffffff,1,0
8404b17ffffffff,1,0
8404b31ffffffff,1,0
8404b3bffffffff,1,0
8404b3dffffffff,1,0
8406283ffffffff,3,0
8406289ffffffff,1,0
840628bffffffff,7,0
840628dffffffff,1,0
8406291ffffffff,5,0
8406293ffffffff,7,0
8406295ffffffff,4,0
8406297ffffffff,5,0
8406299ffffffff,7,0
840629bffffffff,10,0
840629dffffffff,8,0
84062b9ffffffff,2,0
84062bbffffffff,1,0
84062c3ffffffff,10,0
84062c7ffffffff,2,0
84062cbffffffff,10,0
84062d1ffffffff,8,0
84062d3ffffffff,12,0
84062d5ffffffff,7,0
84062d7ffffffff,9,0
84062d9ffffffff,7,0
84062dbffffffff,11,0
84062ddffffffff,5,0
8406469ffffffff,1,0
8406601ffffffff,10,0
8406603ffffffff,3,0
8406605ffffffff,17,0
8406607ffffffff,1,0
8406609ffffffff,21,0
840660bffffffff,8,0
840660dffffffff,20,0
8406621ffffffff,32,0
8406625ffffffff,7,0
8406627ffffffff,8,0
8406629ffffffff,29,0
840662bffffffff,8,0
840662dffffffff,24,0
8406639ffffffff,2,0
840663dffffffff,1,0
8406641ffffffff,22,0
8406643ffffffff,11,0
8406645ffffffff,27,0
8406647ffffffff,13,0
8406649ffffffff,13,0
840664bffffffff,2,0
840664dffffffff,18,0
8406655ffffffff,1,0
8406661ffffffff,34,0
8406663ffffffff,22,0
8406665ffffffff,22,0
8406667ffffffff,29,0
8406669ffffffff,19,0
840666bffffffff,34,0
840666dffffffff,27,0
8406703ffffffff,12,0
8406709ffffffff,1,0
840670bffffffff,4,0
8406713ffffffff,1,0
8406715ffffffff,16,0
840671dffffffff,52,0
8406739ffffffff,2,0
8406741ffffffff,1,0
8406743ffffffff,8,0
8406749ffffffff,2,0
840674bffffffff,10,0
8406751ffffffff,48,0
8406753ffffffff,9,0
8406755ffffffff,4,0
8406757ffffffff,54,0
8406759ffffffff,47,0
840675bffffffff,18,0
840675dffffffff,14,0
840676dffffffff,2,0
