hex,count_good_aircraft,count_bad_aircraft
8400ecdffffffff,1,0
8401043ffffffff,2,0
8401047ffffffff,2,0
8401049ffffffff,2,0
840104dffffffff,2,0
8401059ffffffff,5,0
840105bffffffff,2,0
840105dffffffff,2,0
8401069ffffffff,2,0
840106bffffffff,2,0
8401201ffffffff,4,0
8401203ffffffff,1,0
8401205ffffffff,3,0
8401207ffffffff,5,0
8401209ffffffff,2,0
840120bffffffff,1,0
840120dffffffff,5,0
8401211ffffffff,1,0
8401219ffffffff,2,0
840121bffffffff,2,0
8401221ffffffff,3,0
8401223ffffffff,2,0
8401225ffffffff,2,0
8401227ffffffff,2,0
840122bffffffff,4,0
840122dffffffff,1,0
8401231ffffffff,4,0
8401233ffffffff,4,0
8401235ffffffff,2,0
8401237ffffffff,2,0
8401239ffffffff,4,0
840123bffffffff,2,0
840123dffffffff,1,0
8401241ffffffff,6,0
8401243ffffffff,2,0
8401245ffffffff,4,1
8401247ffffffff,5,3
840124bffffffff,4,0
840124dffffffff,2,1
8401251ffffffff,2,0
8401253ffffffff,2,0
8401255ffffffff,2,0
8401257ffffffff,2,0
8401259ffffffff,2,0
840125bffffffff,4,0
840125dffffffff,3,0
8401261ffffffff,4,0
8401263ffffffff,3,0
8401265ffffffff,3,0
8401267ffffffff,3,0
8401269ffffffff,4,0
840126bffffffff,4,0
840126dffffffff,3,2
84012c1ffffffff,4,0
84012c3ffffffff,2,0
84012c5ffffffff,1,0
84012c7ffffffff,2,0
84012c9ffffffff,5,0
84012cbffffffff,7,0
84012cdffffffff,1,0
84012edffffffff,1,0
8401303ffffffff,2,2
840130bffffffff,1,0
8401311ffffffff,1,0
8401315ffffffff,3,1
8401317ffffffff,2,1
8401319ffffffff,1,0
840131bffffffff,1,0
8401351ffffffff,4,0
8401353ffffffff,4,0
8401355ffffffff,1,0
8401357ffffffff,1,0
8401359ffffffff,5,1
840135bffffffff,3,0
840135dffffffff,8,0
840136bffffffff,1,0
8405647ffffffff,1,0
8405669ffffffff,1,0
8406283ffffffff,1,0
8406289ffffffff,3,0
840628bffffffff,2,0
8406291ffffffff,4,0
8406293ffffffff,2,0
8406299ffffffff,8,0
840629bffffffff,8,0
840629dffffffff,3,0
84062c1ffffffff,1,0
84062cbffffffff,1,0
84062d1ffffffff,19,0
84062d3ffffffff,17,0
84062d5ffffffff,18,0
84062d7ffffffff,6,0
84062d9ffffffff,24,0
84062dbffffffff,12,0
84062ddffffffff,6,0
8406601ffffffff,3,0
8406605ffffffff,7,0
8406609ffffffff,11,0
840660bffffffff,1,0
840660dffffffff,11,0
8406621ffffffff,19,0
8406623ffffffff,1,0
8406625ffffffff,10,0
8406627ffffffff,6,0
8406629ffffffff,16,0
840662bffffffff,7,0
840662dffffffff,24,0
8406641ffffffff,8,0
8406643ffffffff,6,0
8406645ffffffff,16,0
8406647ffffffff,7,0
8406649ffffffff,4,0
840664bffffffff,2,0
840664dffffffff,15,0
840665dffffffff,1,0
8406661ffffffff,27,0
8406663ffffffff,12,0
8406665ffffffff,27,0
8406667ffffffff,26,0
8406669ffffffff,16,0
840666bffffffff,17,0
840666dffffffff,30,0
8406703ffffffff,6,0
840670bffffffff,4,0
8406715ffffffff,5,0
840671dffffffff,17,0
8406743ffffffff,9,0
8406749ffffffff,1,0
840674bffffffff,15,0
8406751ffffffff,15,0
8406753ffffffff,3,0
8406755ffffffff,3,0
8406757ffffffff,17,0
8406759ffffffff,15,0
840675bffffffff,10,0
840675dffffffff,5,0
8406c17ffffffff,1,0
8406c31ffffffff,9,0
8406c33ffffffff,1,0
8406c37ffffffff,12,0
8406c81ffffffff,2,0
8406c83ffffffff,11,0
8406c85ffffffff,13,0
8406c8dffffffff,1,0
8406c95ffffffff,22,0
8406c9dffffffff,19,0
8406ca1ffffffff,6,0
8406ca3ffffffff,8,0
8406ca5ffffffff,10,0
8406ca7ffffffff,3,0
8406ca9ffffffff,2,0
8406cabffffffff,11,0
8406cadffffffff,7,0
8406cb1ffffffff,19,0
8406cb3ffffffff,5,0
8406cb5ffffffff,8,0
8406cb7ffffffff,14,0
8406cb9ffffffff,21,0
8406cbbffffffff,13,0
8406ce1ffffffff,15,0
8406ce5ffffffff,16,0
8406ce7ffffffff,8,0
8406ce9ffffffff,4,0
8406cedffffffff,7,0
8406d81ffffffff,12,0
8406d83ffffffff,11,0
8406d85ffffffff,35,0
8406d87ffffffff,10,0
8406d89ffffffff,8,0
8406d8bffffffff,17,0
8406d8dffffffff,17,0
8406d91ffffffff,9,0
8406d93ffffffff,3,0
8406d95ffffffff,5,0
8406d97ffffffff,6,0
8406d99ffffffff,3,0
8406d9bffffffff,9,0
8406d9dffffffff,10,0
8406da1ffffffff,6,0
8406da3ffffffff,3,0
8406da5ffffffff,4,0
8406da7ffffffff,1,0
8406da9ffffffff,27,0
8406dabffffffff,14,0
8406dadffffffff,5,0
8406db1ffffffff,4,0
8406db7ffffffff,3,0
8406db9ffffffff,9,0
8406dbbffffffff,4,0
8406dbdffffffff,2,0
8406dc1ffffffff,2,0
8406dc3ffffffff,9,0
8406dc5ffffffff,12,0
8406dc7ffffffff,22,0
8406dcbffffffff,13,0
8406dd1ffffffff,15,0
8406dd3ffffffff,3,0
8406dd5ffffffff,21,0
8406dd7ffffffff,12,0
8406dd9ffffffff,9,0
8406ddbffffffff,15,0
8406dddffffffff,25,0
8406de1ffffffff,1,0
8406de3ffffffff,12,0
8406debffffffff,23,0
8407401ffffffff,19,0
8407403ffffffff,11,0
8407405ffffffff,18,0
8407407ffffffff,17,0
8407409ffffffff,13,0
840740bffffffff,13,0
840740dffffffff,25,0
8407411ffffffff,3,0
8407413ffffffff,7,0
8407415ffffffff,11,0
8407417ffffffff,15,0
8407419ffffffff,1,0
840741bffffffff,1,0
8407421ffffffff,8,0
8407423ffffffff,25,0
8407425ffffffff,4,0
8407427ffffffff,16,0
8407429ffffffff,10,0
840742bffffffff,27,0
840742dffffffff,1,0
8407431ffffffff,19,0
8407433ffffffff,47,0
8407435ffffffff,10,0
8407437ffffffff,25,0
8407439ffffffff,10,0
840743bffffffff,25,0
840743dffffffff,11,0
8407441ffffffff,2,0
8407443ffffffff,15,0
8407445ffffffff,1,0
8407447ffffffff,18,0
840744bffffffff,8,0
8407455ffffffff,5,0
840745dffffffff,7,0
8407461ffffffff,14,0
8407463ffffffff,18,0
8407467ffffffff,19,0
8407469ffffffff,1,0
840746bffffffff,10,0
8407481ffffffff,1,0
8407485ffffffff,2,0
8407489ffffffff,2,0
840748dffffffff,2,0
84074a1ffffffff,15,0
84074a5ffffffff,15,0
84074a7ffffffff,14,0
84074a9ffffffff,12,0
84074abffffffff,7,0
84074adffffffff,12,0
84074b9ffffffff,1,0
84074bbffffffff,1,0
84074bdffffffff,1,0
84074c1ffffffff,3,0
84074c3ffffffff,5,0
84074c5ffffffff,25,0
84074c7ffffffff,10,0
84074cdffffffff,1,0
84074e1ffffffff,47,0
84074e3ffffffff,21,0
84074e5ffffffff,40,0
84074e7ffffffff,37,0
84074e9ffffffff,36,0
84074ebffffffff,30,0
84074edffffffff,43,0
8407511ffffffff,21,0
8407513ffffffff,10,0
8407515ffffffff,24,0
8407517ffffffff,27,0
8407519ffffffff,4,0
840751bffffffff,6,0
840751dffffffff,4,0
8407531ffffffff,1,0
8407533ffffffff,20,0
8407537ffffffff,8,0
8407539ffffffff,4,0
840753bffffffff,21,0
8407581ffffffff,11,0
8407583ffffffff,17,0
8407585ffffffff,11,0
8407587ffffffff,7,0
8407589ffffffff,8,0
840758bffffffff,16,0
840758dffffffff,9,0
8407591ffffffff,30,0
8407593ffffffff,16,0
8407595ffffffff,31,0
8407597ffffffff,30,0
8407599ffffffff,17,0
840759bffffffff,18,0
840759dffffffff,44,0
84075a1ffffffff,7,0
84075a3ffffffff,5,0
84075a5ffffffff,14,0
84075a7ffffffff,4,0
84075a9ffffffff,17,0
84075abffffffff,9,0
84075adffffffff,15,0
84075b1ffffffff,17,0
84075b3ffffffff,15,0
84075b5ffffffff,18,0
84075b7ffffffff,18,0
84075b9ffffffff,24,0
84075bbffffffff,14,0
84075bdffffffff,13,0
84075c1ffffffff,6,0
84075c3ffffffff,14,0
84075c5ffffffff,13,0
84075c7ffffffff,16,0
84075c9ffffffff,13,0
84075cbffffffff,13,0
84075cdffffffff,17,0
84075d1ffffffff,82,0
84075d3ffffffff,24,0
84075d5ffffffff,22,0
84075d7ffffffff,69,0
84075d9ffffffff,68,0
84075dbffffffff,48,0
84075ddffffffff,20,0
84075e1ffffffff,6,0
84075e3ffffffff,15,0
84075e5ffffffff,12,0
84075e7ffffffff,14,0
84075e9ffffffff,12,0
84075ebffffffff,14,0
84075edffffffff,17,0
8407637ffffffff,3,0
8408001ffffffff,6,0
8408005ffffffff,7,0
8408007ffffffff,6,0
8408009ffffffff,2,0
840800bffffffff,6,0
840800dffffffff,5,0
8408021ffffffff,17,0
8408023ffffffff,22,0
8408025ffffffff,42,0
8408027ffffffff,30,0
8408029ffffffff,9,0
840802bffffffff,12,0
840802dffffffff,13,0
8408031ffffffff,15,0
8408033ffffffff,19,0
8408035ffffffff,36,0
8408037ffffffff,36,0
8408039ffffffff,7,0
840803bffffffff,9,0
840803dffffffff,15,0
8408043ffffffff,2,0
840804bffffffff,2,0
8408051ffffffff,1,0
8408053ffffffff,5,0
8408057ffffffff,5,0
840805bffffffff,2,0
8408061ffffffff,4,0
8408063ffffffff,5,0
8408065ffffffff,5,0
8408067ffffffff,1,0
840806bffffffff,1,0
840806dffffffff,6,0
8408101ffffffff,38,0
8408103ffffffff,5,0
8408105ffffffff,10,0
8408107ffffffff,4,0
8408109ffffffff,48,0
840810bffffffff,53,0
840810dffffffff,55,0
8408115ffffffff,4,0
8408117ffffffff,1,0
8408119ffffffff,32,0
840811bffffffff,1,0
840811dffffffff,5,0
8408121ffffffff,7,0
8408123ffffffff,6,0
8408125ffffffff,6,0
8408127ffffffff,9,0
8408129ffffffff,6,0
840812bffffffff,7,0
840812dffffffff,4,0
8408131ffffffff,6,0
8408133ffffffff,13,0
8408135ffffffff,7,0
8408137ffffffff,14,0
8408139ffffffff,3,0
840813bffffffff,3,0
840813dffffffff,6,0
8408141ffffffff,10,0
8408143ffffffff,28,0
8408145ffffffff,4,0
8408147ffffffff,26,0
8408149ffffffff,19,0
840814bffffffff,18,0
840814dffffffff,6,0
8408151ffffffff,58,0
8408153ffffffff,51,0
8408155ffffffff,40,0
8408157ffffffff,72,0
8408159ffffffff,8,0
840815bffffffff,16,0
840815dffffffff,26,0
8408161ffffffff,43,0
8408163ffffffff,50,0
8408165ffffffff,47,0
8408167ffffffff,47,0
8408169ffffffff,22,0
840816bffffffff,42,0
840816dffffffff,27,0
8408183ffffffff,1,0
8408185ffffffff,1,0
8408189ffffffff,1,0
840818dffffffff,1,0
8408193ffffffff,1,0
8408195ffffffff,1,0
8408197ffffffff,1,0
8408199ffffffff,1,0
840819dffffffff,1,0
84081a1ffffffff,5,0
84081a3ffffffff,3,0
84081a5ffffffff,2,0
84081a7ffffffff,2,0
84081a9ffffffff,4,0
84081abffffffff,3,0
84081adffffffff,5,0
84081b1ffffffff,3,0
84081b3ffffffff,3,0
84081b5ffffffff,4,0
84081b7ffffffff,6,0
84081b9ffffffff,1,0
84081bdffffffff,3,0
84081c3ffffffff,1,0
84081c5ffffffff,1,0
84081c9ffffffff,31,0
84081cbffffffff,24,0
84081cdffffffff,1,0
84081d1ffffffff,2,0
84081d3ffffffff,2,0
84081d9ffffffff,35,0
84081dbffffffff,34,0
84081ddffffffff,17,0
84081e1ffffffff,1,0
84081e5ffffffff,5,0
84081e7ffffffff,5,0
84081ebffffffff,1,0
84081edffffffff,4,0
8408207ffffffff,1,0
840820bffffffff,1,0
8408211ffffffff,1,0
8408217ffffffff,1,0
8408219ffffffff,1,0
840821dffffffff,1,0
8408223ffffffff,1,0
8408227ffffffff,1,0
840822bffffffff,1,0
8408231ffffffff,1,0
8408235ffffffff,2,0
8408239ffffffff,1,0
8408255ffffffff,1,0
8408257ffffffff,1,0
8408259ffffffff,1,0
840825bffffffff,1,0
8408281ffffffff,1,0
8408283ffffffff,11,0
8408287ffffffff,13,0
8408289ffffffff,1,0
840828dffffffff,1,0
8408291ffffffff,32,0
8408293ffffffff,37,0
8408295ffffffff,33,0
8408297ffffffff,38,0
8408299ffffffff,8,0
840829bffffffff,38,0
840829dffffffff,11,0
84082a1ffffffff,4,0
84082a3ffffffff,23,0
84082a5ffffffff,8,0
84082a7ffffffff,22,0
84082a9ffffffff,1,0
84082abffffffff,7,0
84082adffffffff,2,0
84082b1ffffffff,36,0
84082b3ffffffff,2,0
84082b5ffffffff,36,0
84082b7ffffffff,1,0
84082b9ffffffff,32,0
84082bbffffffff,38,0
84082bdffffffff,25,0
84082c3ffffffff,2,0
84082c7ffffffff,1,0
