hex,count_good_aircraft,count_bad_aircraft
8401043ffffffff,1,0
8401047ffffffff,1,0
8401049ffffffff,2,0
840104dffffffff,3,0
8401059ffffffff,3,0
840105dffffffff,1,0
840106bffffffff,1,0
8401201ffffffff,4,0
8401205ffffffff,1,0
8401207ffffffff,4,0
840120dffffffff,2,0
8401217ffffffff,1,0
8401219ffffffff,1,0
8401221ffffffff,3,0
8401223ffffffff,1,0
8401225ffffffff,3,0
8401227ffffffff,4,0
8401229ffffffff,1,0
840122bffffffff,2,0
8401231ffffffff,6,0
8401233ffffffff,4,0
8401235ffffffff,2,0
8401239ffffffff,3,0
8401245ffffffff,1,0
840124bffffffff,1,0
8401257ffffffff,1,0
8401261ffffffff,4,0
8401263ffffffff,1,0
8401265ffffffff,3,0
8401267ffffffff,3,0
8401269ffffffff,1,0
840126dffffffff,1,0
84012c1ffffffff,3,0
84012c3ffffffff,2,0
84012c5ffffffff,2,0
84012c9ffffffff,4,0
84012cbffffffff,4,0
84012cdffffffff,1,0
84012ddffffffff,1,0
8401301ffffffff,2,1
8401309ffffffff,1,1
8401311ffffffff,2,0
840131bffffffff,2,0
8401343ffffffff,1,0
8401351ffffffff,5,0
8401355ffffffff,2,0
8401359ffffffff,6,0
840135bffffffff,1,0
840135dffffffff,11,0
84062d3ffffffff,1,0
84062d9ffffffff,1,0
84062dbffffffff,2,0
8406605ffffffff,13,0
8406609ffffffff,8,0
840660dffffffff,4,0
8406621ffffffff,22,0
8406625ffffffff,11,0
8406627ffffffff,3,0
8406629ffffffff,21,0
840662bffffffff,8,0
840662dffffffff,31,0
8406641ffffffff,7,0
8406643ffffffff,5,0
8406645ffffffff,26,0
8406647ffffffff,3,0
8406649ffffffff,6,0
840664bffffffff,2,0
840664dffffffff,21,0
840665dffffffff,1,0
8406661ffffffff,32,0
8406663ffffffff,27,0
8406665ffffffff,16,0
8406667ffffffff,27,0
8406669ffffffff,31,0
840666bffffffff,30,0
840666dffffffff,22,0
8406703ffffffff,10,0
8406709ffffffff,2,0
840670bffffffff,5,0
8406715ffffffff,3,0
840671dffffffff,20,0
8406743ffffffff,5,0
840674bffffffff,4,0
8406751ffffffff,13,0
8406753ffffffff,4,0
8406755ffffffff,7,0
8406757ffffffff,21,0
8406759ffffffff,11,0
840675bffffffff,8,0
840675dffffffff,11,0
8406c31ffffffff,6,0
8406c35ffffffff,1,0
8406c37ffffffff,6,0
8406c83ffffffff,8,0
8406c85ffffffff,13,0
8406c87ffffffff,1,0
8406c93ffffffff,3,0
8406c95ffffffff,18,0
8406c9dffffffff,16,0
8406ca1ffffffff,10,0
8406ca3ffffffff,6,0
8406ca5ffffffff,6,0
8406ca7ffffffff,8,0
8406ca9ffffffff,4,0
8406cabffffffff,12,0
8406cadffffffff,6,0
8406cb1ffffffff,18,0
8406cb3ffffffff,3,0
8406cb5ffffffff,10,0
8406cb7ffffffff,7,0
8406cb9ffffffff,19,0
8406cbbffffffff,6,0
8406ce1ffffffff,1,0
8406ce5ffffffff,6,0
8406ce7ffffffff,5,0
8406ce9ffffffff,1,0
8406cedffffffff,1,0
8406d81ffffffff,5,0
8406d83ffffffff,4,0
8406d85ffffffff,1,0
8406d87ffffffff,2,0
8406d89ffffffff,5,0
8406d8bffffffff,3,0
8406d91ffffffff,7,0
8406d93ffffffff,1,0
8406d95ffffffff,1,0
8406d97ffffffff,4,0
8406d99ffffffff,6,0
8406d9bffffffff,2,0
8406d9dffffffff,2,0
8406da3ffffffff,1,0
8406da9ffffffff,2,0
8406db1ffffffff,5,0
8406db3ffffffff,1,0
8406db7ffffffff,5,0
8406db9ffffffff,4,0
8406dbbffffffff,3,0
8406dbdffffffff,2,0
8406dc3ffffffff,3,0
8406dc7ffffffff,4,0
8406dcbffffffff,9,0
8406dd1ffffffff,8,0
8406dd3ffffffff,7,0
8406dd5ffffffff,5,0
8406dd7ffffffff,3,0
8406dd9ffffffff,7,0
8406ddbffffffff,6,0
8406dddffffffff,13,0
8407407ffffffff,1,0
8407415ffffffff,1,0
8407417ffffffff,9,0
8407423ffffffff,5,0
8407427ffffffff,3,0
8407431ffffffff,13,0
8407433ffffffff,49,0
8407435ffffffff,7,0
8407437ffffffff,21,0
8407439ffffffff,1,0
840743bffffffff,10,0
840743dffffffff,3,0
8407489ffffffff,1,0
840748dffffffff,3,0
84074a1ffffffff,22,0
84074a5ffffffff,25,0
84074a7ffffffff,20,0
84074a9ffffffff,23,0
84074abffffffff,1,0
84074adffffffff,22,0
84074b9ffffffff,2,0
84074bdffffffff,1,0
84074c1ffffffff,4,0
84074c3ffffffff,3,0
84074c5ffffffff,21,0
84074c7ffffffff,10,0
84074e1ffffffff,42,0
84074e3ffffffff,23,0
84074e5ffffffff,38,0
84074e7ffffffff,38,0
84074e9ffffffff,30,0
84074ebffffffff,35,0
84074edffffffff,36,0
8407581ffffffff,8,0
8407583ffffffff,10,0
8407585ffffffff,6,0
8407587ffffffff,11,0
8407589ffffffff,4,0
840758bffffffff,13,0
840758dffffffff,5,0
8407591ffffffff,25,0
8407593ffffffff,28,0
8407595ffffffff,12,0
8407597ffffffff,24,0
8407599ffffffff,18,0
840759bffffffff,26,0
840759dffffffff,20,0
84075a1ffffffff,1,0
84075a3ffffffff,5,0
84075a9ffffffff,6,0
84075abffffffff,7,0
84075adffffffff,2,0
84075b1ffffffff,5,0
84075b3ffffffff,14,0
84075b5ffffffff,3,0
84075b7ffffffff,10,0
84075b9ffffffff,6,0
84075bbffffffff,11,0
84075bdffffffff,11,0
84075c1ffffffff,4,0
84075c3ffffffff,8,0
84075c5ffffffff,5,0
84075c7ffffffff,6,0
84075c9ffffffff,5,0
84075cbffffffff,6,0
84075cdffffffff,3,0
84075d1ffffffff,72,0
84075d3ffffffff,27,0
84075d5ffffffff,8,0
84075d7ffffffff,62,0
84075d9ffffffff,64,0
84075dbffffffff,47,0
84075ddffffffff,23,0
84075e1ffffffff,2,0
84075e3ffffffff,8,0
84075e5ffffffff,1,0
