hex,count_good_aircraft,count_bad_aircraft
8401043ffffffff,2,0
8401047ffffffff,2,0
8401049ffffffff,1,0
840104dffffffff,1,0
8401059ffffffff,2,0
840105dffffffff,2,0
8401069ffffffff,1,0
840106bffffffff,2,0
8401201ffffffff,3,0
8401207ffffffff,3,0
8401221ffffffff,4,0
8401223ffffffff,2,0
8401225ffffffff,2,0
8401227ffffffff,4,0
8401229ffffffff,1,0
840122bffffffff,3,0
840122dffffffff,1,1
8401231ffffffff,3,0
8401233ffffffff,2,0
8401235ffffffff,2,0
8401237ffffffff,2,0
8401239ffffffff,2,0
8401245ffffffff,1,1
8401251ffffffff,1,0
840125bffffffff,1,0
8401261ffffffff,6,0
8401263ffffffff,2,0
8401265ffffffff,5,2
8401267ffffffff,5,0
8401269ffffffff,1,0
840126bffffffff,4,0
840126dffffffff,2,0
84012c1ffffffff,2,0
84012c3ffffffff,1,0
84012c7ffffffff,1,0
84012c9ffffffff,3,0
84012cbffffffff,3,0
840130bffffffff,3,0
8401315ffffffff,1,1
8401317ffffffff,1,0
8401319ffffffff,3,0
840131dffffffff,2,0
8401343ffffffff,1,0
8401351ffffffff,5,0
8401353ffffffff,2,0
8401355ffffffff,4,0
8401357ffffffff,3,0
8401359ffffffff,7,2
840135bffffffff,5,5
840135dffffffff,8,0
8403261ffffffff,1,0
8406283ffffffff,2,0
8406289ffffffff,3,0
840628bffffffff,2,0
840628dffffffff,1,0
8406291ffffffff,3,0
8406293ffffffff,2,0
8406295ffffffff,2,0
8406299ffffffff,10,0
840629bffffffff,5,0
840629dffffffff,9,0
84062c1ffffffff,3,0
84062c3ffffffff,5,0
84062c7ffffffff,1,0
84062c9ffffffff,1,0
84062cbffffffff,6,0
84062d1ffffffff,7,0
84062d3ffffffff,14,0
84062d5ffffffff,6,0
84062d7ffffffff,9,0
84062d9ffffffff,6,0
84062dbffffffff,16,0
84062ddffffffff,2,0
8406601ffffffff,4,0
8406607ffffffff,4,0
8406609ffffffff,14,0
840660dffffffff,4,0
8406621ffffffff,17,0
8406625ffffffff,12,0
8406627ffffffff,5,0
8406629ffffffff,18,0
840662dffffffff,27,0
840663dffffffff,3,0
8406641ffffffff,8,0
8406643ffffffff,2,0
8406645ffffffff,22,0
8406647ffffffff,13,0
8406649ffffffff,7,0
840664dffffffff,22,0
8406661ffffffff,32,0
8406663ffffffff,17,0
8406665ffffffff,11,0
8406667ffffffff,24,0
8406669ffffffff,30,0
840666bffffffff,19,0
840666dffffffff,20,0
8406703ffffffff,1,0
840670bffffffff,1,0
840671dffffffff,12,0
8406743ffffffff,2,0
840674bffffffff,4,0
840674dffffffff,1,0
8406751ffffffff,12,0
8406755ffffffff,3,0
8406757ffffffff,14,0
8406759ffffffff,11,0
840675bffffffff,1,0
840675dffffffff,3,0
8406c31ffffffff,2,0
8406c33ffffffff,1,0
8406c37ffffffff,2,0
8406c81ffffffff,1,0
8406c83ffffffff,15,0
8406c85ffffffff,12,0
8406c8dffffffff,1,0
8406c95ffffffff,15,0
8406c9dffffffff,9,0
8406ca1ffffffff,5,0
8406ca3ffffffff,8,0
8406ca5ffffffff,8,0
8406ca7ffffffff,4,0
8406ca9ffffffff,4,0
8406cabffffffff,12,0
8406cadffffffff,9,0
8406cb1ffffffff,17,0
8406cb3ffffffff,10,0
8406cb5ffffffff,2,0
8406cb7ffffffff,10,0
8406cb9ffffffff,19,0
8406cbbffffffff,15,0
8406cbdffffffff,1,0
8406ce1ffffffff,10,0
8406ce5ffffffff,10,0
8406ce7ffffffff,10,0
8406ce9ffffffff,3,0
8406cedffffffff,8,0
8406d81ffffffff,4,0
8406d83ffffffff,2,0
8406d85ffffffff,4,0
8406d87ffffffff,4,0
8406d89ffffffff,4,0
8406d8bffffffff,3,0
8406d8dffffffff,3,0
8406d91ffffffff,8,0
8406d93ffffffff,8,0
8406d95ffffffff,2,0
8406d97ffffffff,3,0
8406d99ffffffff,3,0
8406d9bffffffff,6,0
8406d9dffffffff,8,0
8406da1ffffffff,1,0
8406da5ffffffff,2,0
8406da9ffffffff,2,0
8406dabffffffff,4,0
8406dadffffffff,1,0
8406db1ffffffff,1,0
8406dbbffffffff,3,0
8406dc3ffffffff,4,0
8406dc5ffffffff,1,0
8406dc7ffffffff,4,0
8406dcbffffffff,11,0
8406dd1ffffffff,10,0
8406dd3ffffffff,6,0
