hex,count_good_aircraft,count_bad_aircraft
8400cb7ffffffff,1,0
8401043ffffffff,1,0
8401047ffffffff,1,0
8401049ffffffff,1,0
840104dffffffff,1,0
8401059ffffffff,1,0
840105dffffffff,1,0
8401069ffffffff,1,0
840106bffffffff,1,0
8401205ffffffff,4,0
840120dffffffff,1,0
8401221ffffffff,3,0
8401223ffffffff,1,0
8401225ffffffff,4,0
8401227ffffffff,4,0
8401229ffffffff,2,0
840122bffffffff,3,0
840122dffffffff,2,0
8401231ffffffff,1,0
8401233ffffffff,1,0
8401235ffffffff,1,0
8401237ffffffff,1,0
840123bffffffff,1,0
8401241ffffffff,3,0
8401243ffffffff,2,0
8401245ffffffff,3,0
8401247ffffffff,5,0
8401261ffffffff,5,0
8401263ffffffff,4,0
8401265ffffffff,2,1
8401267ffffffff,5,2
8401269ffffffff,3,1
840126bffffffff,5,0
840126dffffffff,2,1
84012c1ffffffff,3,0
84012c3ffffffff,1,0
84012c5ffffffff,1,0
84012c7ffffffff,1,0
84012c9ffffffff,3,0
84012cbffffffff,3,0
84012edffffffff,1,0
8401301ffffffff,2,2
8401303ffffffff,2,0
840130bffffffff,2,0
8401311ffffffff,1,0
8401315ffffffff,2,0
8401317ffffffff,1,0
8401319ffffffff,2,0
840131bffffffff,1,0
840131dffffffff,1,0
8401351ffffffff,7,0
8401353ffffffff,4,0
8401355ffffffff,2,0
8401357ffffffff,3,0
8401359ffffffff,5,0
840135bffffffff,5,1
840135dffffffff,10,1
8403263ffffffff,1,0
8403269ffffffff,1,0
8403355ffffffff,1,0
8406281ffffffff,2,0
8406283ffffffff,3,0
8406289ffffffff,2,0
840628bffffffff,7,0
8406291ffffffff,2,0
8406293ffffffff,2,0
8406295ffffffff,2,0
8406297ffffffff,2,0
8406299ffffffff,3,0
840629bffffffff,5,0
840629dffffffff,3,0
84062c1ffffffff,4,0
84062c3ffffffff,2,0
84062c9ffffffff,4,0
84062cbffffffff,4,0
84062d1ffffffff,16,0
84062d3ffffffff,4,0
84062d5ffffffff,15,0
84062d7ffffffff,4,0
84062d9ffffffff,17,0
84062dbffffffff,4,0
8406601ffffffff,7,0
8406605ffffffff,27,0
8406607ffffffff,1,0
8406609ffffffff,33,0
840660dffffffff,24,0
8406621ffffffff,33,0
8406625ffffffff,14,0
8406627ffffffff,12,0
8406629ffffffff,24,0
840662bffffffff,22,0
840662dffffffff,32,0
840663dffffffff,1,0
8406641ffffffff,8,0
8406643ffffffff,20,0
8406645ffffffff,10,0
8406647ffffffff,8,0
8406649ffffffff,3,0
840664bffffffff,3,0
840664dffffffff,12,0
8406655ffffffff,1,0
840665dffffffff,1,0
8406661ffffffff,34,0
8406663ffffffff,9,0
8406665ffffffff,21,0
8406667ffffffff,34,0
8406669ffffffff,17,0
840666bffffffff,12,0
840666dffffffff,33,0
8406703ffffffff,7,0
8406709ffffffff,1,0
840670bffffffff,2,0
8406713ffffffff,1,0
8406715ffffffff,5,0
8406719ffffffff,2,0
840671dffffffff,18,0
8406743ffffffff,8,0
8406749ffffffff,1,0
840674bffffffff,9,0
840674dffffffff,1,0
8406751ffffffff,17,0
8406753ffffffff,6,0
8406755ffffffff,1,0
8406757ffffffff,19,0
8406759ffffffff,13,0
840675bffffffff,11,0
840675dffffffff,3,0
8406c31ffffffff,1,0
8406c37ffffffff,5,0
8406c83ffffffff,6,0
8406c85ffffffff,38,0
8406c87ffffffff,1,0
8406c8dffffffff,6,0
8406c95ffffffff,16,0
8406c9dffffffff,14,0
8406ca1ffffffff,34,0
8406ca3ffffffff,5,0
8406ca5ffffffff,20,0
8406ca7ffffffff,18,0
8406ca9ffffffff,22,0
8406cabffffffff,19,0
8406cadffffffff,1,0
8406cb1ffffffff,14,0
8406cb3ffffffff,2,0
8406cb5ffffffff,7,0
8406cb7ffffffff,7,0
8406cb9ffffffff,17,0
8406cbbffffffff,6,0
8406ce1ffffffff,40,0
8406ce5ffffffff,41,0
8406ce7ffffffff,1,0
8406ce9ffffffff,2,0
8406cedffffffff,1,0
8406d81ffffffff,13,0
8406d83ffffffff,12,0
8406d85ffffffff,15,0
8406d87ffffffff,15,0
8406d89ffffffff,12,0
8406d8bffffffff,21,0
8406d8dffffffff,5,0
8406d91ffffffff,20,0
8406d93ffffffff,3,0
8406d95ffffffff,22,0
8406d97ffffffff,10,0
8406d99ffffffff,20,0
8406d9bffffffff,20,0
8406d9dffffffff,24,0
8406da1ffffffff,1,0
8406da5ffffffff,9,0
8406da9ffffffff,7,0
8406dabffffffff,15,0
8406dadffffffff,13,0
8406db1ffffffff,7,0
8406db3ffffffff,5,0
8406db7ffffffff,1,0
8406db9ffffffff,1,0
8406dbbffffffff,20,0
8406dbdffffffff,1,0
8406dc1ffffffff,2,0
8406dc3ffffffff,16,0
8406dc5ffffffff,2,0
8406dc7ffffffff,7,0
8406dcbffffffff,15,0
8406dd1ffffffff,28,0
8406dd3ffffffff,22,0
8406dd5ffffffff,4,0
8406dd7ffffffff,43,0
8406dd9ffffffff,5,0
8406ddbffffffff,43,0
8406dddffffffff,20,0
8406de3ffffffff,3,0
8406debffffffff,3,0
8407401ffffffff,4,0
8407403ffffffff,8,0
8407405ffffffff,5,0
8407407ffffffff,3,0
8407409ffffffff,7,0
840740bffffffff,4,0
840740dffffffff,7,0
8407411ffffffff,5,0
8407413ffffffff,4,0
8407415ffffffff,22,0
8407417ffffffff,26,0
8407419ffffffff,3,0
840741dffffffff,7,0
8407423ffffffff,6,0
8407427ffffffff,2,0
8407429ffffffff,2,0
840742bffffffff,7,0
840742dffffffff,2,0
8407431ffffffff,20,0
8407433ffffffff,56,0
8407435ffffffff,5,0
8407437ffffffff,23,0
8407439ffffffff,10,0
840743bffffffff,38,0
840743dffffffff,4,0
8407443ffffffff,6,0
8407445ffffffff,4,0
8407447ffffffff,2,0
8407449ffffffff,3,0
840744bffffffff,6,0
8407455ffffffff,4,0
840745dffffffff,6,0
8407461ffffffff,16,0
8407463ffffffff,2,0
8407467ffffffff,10,0
8407469ffffffff,7,0
840746bffffffff,5,0
8407485ffffffff,1,0
8407489ffffffff,7,0
840748dffffffff,5,0
84074a1ffffffff,14,0
84074a5ffffffff,11,0
84074a7ffffffff,12,0
84074a9ffffffff,11,0
84074abffffffff,6,0
84074adffffffff,9,0
84074b9ffffffff,2,0
84074bdffffffff,2,0
84074c1ffffffff,8,0
84074c3ffffffff,4,0
84074c5ffffffff,16,0
84074c7ffffffff,10,0
84074d5ffffffff,1,0
84074ddffffffff,1,0
84074e1ffffffff,32,0
84074e3ffffffff,13,0
84074e5ffffffff,40,0
84074e7ffffffff,29,0
84074e9ffffffff,27,0
84074ebffffffff,28,0
84074edffffffff,41,0
8407507ffffffff,2,0
8407511ffffffff,20,0
8407513ffffffff,3,0
8407515ffffffff,18,0
8407517ffffffff,19,0
8407519ffffffff,17,0
840751bffffffff,1,0
840751dffffffff,3,0
8407533ffffffff,15,0
8407535ffffffff,1,0
8407537ffffffff,2,0
8407539ffffffff,2,0
840753bffffffff,16,0
8407581ffffffff,7,0
8407583ffffffff,16,0
8407585ffffffff,3,0
8407587ffffffff,11,0
8407589ffffffff,5,0
840758bffffffff,14,0
840758dffffffff,3,0
8407591ffffffff,33,0
8407593ffffffff,14,0
8407595ffffffff,20,0
8407597ffffffff,33,0
8407599ffffffff,22,0
840759bffffffff,11,0
840759dffffffff,34,0
84075a1ffffffff,5,0
84075a3ffffffff,1,0
84075a5ffffffff,4,0
84075a7ffffffff,6,0
84075a9ffffffff,5,0
84075abffffffff,3,0
84075adffffffff,5,0
84075b1ffffffff,12,0
84075b3ffffffff,16,0
84075b5ffffffff,15,0
84075b7ffffffff,10,0
84075b9ffffffff,13,0
84075bbffffffff,16,0
84075bdffffffff,12,0
84075c1ffffffff,4,0
84075c3ffffffff,8,0
84075c5ffffffff,6,0
84075c7ffffffff,5,0
84075c9ffffffff,5,0
84075cbffffffff,6,0
84075cdffffffff,4,0
84075d1ffffffff,82,0
84075d3ffffffff,26,0
84075d5ffffffff,12,0
