hex,count_good_aircraft,count_bad_aircraft
84005d1ffffffff,1,0
8400d95ffffffff,1,0
8401211ffffffff,1,0
8401219ffffffff,1,0
840121bffffffff,2,0
840124bffffffff,5,0
8401253ffffffff,4,0
8401259ffffffff,1,0
840125bffffffff,4,0
840125dffffffff,4,0
84012c1ffffffff,1,0
84012c3ffffffff,2,0
84012c9ffffffff,5,0
84012cbffffffff,4,0
84012cdffffffff,1,0
8401301ffffffff,1,0
8401309ffffffff,1,0
8401341ffffffff,1,1
8401347ffffffff,1,0
8401351ffffffff,4,0
8401355ffffffff,4,0
8401359ffffffff,7,0
840135dffffffff,8,0
840376dffffffff,0,1
8404841ffffffff,1,0
8404845ffffffff,1,0
840484bffffffff,1,0
8404859ffffffff,1,0
840485dffffffff,1,0
8404861ffffffff,1,0
8404869ffffffff,2,0
8404a43ffffffff,1,0
8404a55ffffffff,1,0
8404a65ffffffff,1,0
8404ae5ffffffff,1,0
8404b11ffffffff,1,0
8404b13ffffffff,2,0
8404b17ffffffff,2,0
8404b19ffffffff,1,0
8404b23ffffffff,1,0
8404b27ffffffff,1,0
8404b3bffffffff,1,0
8404b53ffffffff,1,0
8404b59ffffffff,1,0
8404b5bffffffff,1,0
84059b3ffffffff,1,0
84059bbffffffff,1,0
8406281ffffffff,3,0
8406283ffffffff,1,0
8406287ffffffff,1,0
8406289ffffffff,8,0
840628bffffffff,4,0
8406291ffffffff,13,0
8406293ffffffff,2,0
8406295ffffffff,6,0
8406297ffffffff,6,0
8406299ffffffff,10,0
840629bffffffff,6,0
840629dffffffff,4,0
84062b9ffffffff,1,0
84062bbffffffff,2,0
84062c1ffffffff,1,0
84062c3ffffffff,8,0
84062cbffffffff,7,0
84062d1ffffffff,7,0
84062d3ffffffff,9,0
84062d5ffffffff,5,0
84062d7ffffffff,4,0
84062d9ffffffff,7,0
84062dbffffffff,7,0
84062ddffffffff,4,0
8406601ffffffff,7,0
8406605ffffffff,4,0
8406609ffffffff,15,0
840660bffffffff,3,0
840660dffffffff,14,0
8406621ffffffff,9,0
8406625ffffffff,1,0
8406629ffffffff,14,0
840662bffffffff,3,0
840662dffffffff,20,0
8406641ffffffff,9,0
8406643ffffffff,10,0
8406645ffffffff,14,0
8406647ffffffff,13,0
8406649ffffffff,3,0
840664bffffffff,1,0
840664dffffffff,18,0
8406655ffffffff,2,0
8406661ffffffff,15,0
8406663ffffffff,23,0
8406665ffffffff,18,0
8406667ffffffff,16,0
8406669ffffffff,20,0
840666bffffffff,18,0
840666dffffffff,18,0
8406703ffffffff,4,0
840670bffffffff,1,0
8406711ffffffff,1,0
840671dffffffff,10,0
8406741ffffffff,1,0
8406743ffffffff,3,0
8406749ffffffff,5,0
840674bffffffff,3,0
840674dffffffff,1,0
8406751ffffffff,11,0
8406753ffffffff,5,0
8406755ffffffff,1,0
8406757ffffffff,11,0
8406759ffffffff,14,0
840675bffffffff,6,0
840675dffffffff,6,0
8406c23ffffffff,1,0
8406c31ffffffff,4,0
8406c35ffffffff,3,0
8406c37ffffffff,5,0
8406c83ffffffff,19,0
8406c85ffffffff,23,0
8406c95ffffffff,20,0
8406c9dffffffff,14,0
8406ca1ffffffff,8,0
8406ca3ffffffff,17,0
8406ca5ffffffff,10,0
8406ca7ffffffff,9,0
8406ca9ffffffff,3,0
8406cabffffffff,21,0
8406cadffffffff,10,0
8406cb1ffffffff,17,0
8406cb3ffffffff,10,0
8406cb5ffffffff,5,0
8406cb7ffffffff,16,0
8406cb9ffffffff,23,0
8406cbbffffffff,17,0
8406cbdffffffff,2,0
8406ce1ffffffff,3,0
8406ce5ffffffff,14,0
