hex,count_good_aircraft,count_bad_aircraft
8400d97ffffffff,1,0
840124bffffffff,2,0
84012c1ffffffff,3,0
84012cbffffffff,4,0
8401351ffffffff,2,0
8401355ffffffff,2,0
8401359ffffffff,1,0
840135dffffffff,3,0
8404841ffffffff,1,0
8404845ffffffff,2,0
8404847ffffffff,1,0
8404849ffffffff,1,0
840484bffffffff,1,0
840484dffffffff,1,0
8404861ffffffff,2,0
8404865ffffffff,1,0
8404867ffffffff,2,0
8404869ffffffff,3,0
840486dffffffff,1,0
8404949ffffffff,1,0
8404a35ffffffff,1,0
8404a65ffffffff,1,0
8404b11ffffffff,3,0
8404b13ffffffff,3,0
8404b17ffffffff,5,0
8404b19ffffffff,3,0
8404b31ffffffff,1,0
8404b3bffffffff,2,0
8404b3dffffffff,1,0
8404b53ffffffff,3,0
8404b5bffffffff,3,0
84059b3ffffffff,1,0
84059bbffffffff,1,0
8406283ffffffff,4,0
8406289ffffffff,1,0
840628bffffffff,4,0
8406291ffffffff,4,0
8406293ffffffff,4,0
8406295ffffffff,2,0
8406297ffffffff,4,0
8406299ffffffff,4,0
840629bffffffff,5,0
840629dffffffff,2,0
84062b9ffffffff,1,0
84062bbffffffff,1,0
84062d1ffffffff,6,0
84062d3ffffffff,4,0
84062d5ffffffff,3,0
84062d7ffffffff,7,0
84062d9ffffffff,6,0
84062dbffffffff,3,0
84062ddffffffff,5,0
8406601ffffffff,15,0
8406603ffffffff,3,0
8406605ffffffff,7,0
8406607ffffffff,3,0
8406609ffffffff,21,0
840660bffffffff,10,0
840660dffffffff,13,0
8406621ffffffff,15,0
8406625ffffffff,1,0
8406627ffffffff,1,0
8406629ffffffff,12,0
840662bffffffff,7,0
840662dffffffff,16,0
8406641ffffffff,7,0
8406643ffffffff,6,0
8406645ffffffff,9,0
8406647ffffffff,8,0
8406649ffffffff,6,0
840664dffffffff,14,0
8406655ffffffff,8,0
8406661ffffffff,22,0
8406663ffffffff,11,0
8406665ffffffff,23,0
8406667ffffffff,19,0
8406669ffffffff,16,0
840666bffffffff,13,0
840666dffffffff,20,0
8406703ffffffff,7,0
840670bffffffff,3,0
8406715ffffffff,2,0
840671dffffffff,20,0
8406741ffffffff,3,0
8406743ffffffff,2,0
8406745ffffffff,1,0
8406749ffffffff,2,0
840674bffffffff,3,0
840674dffffffff,1,0
8406751ffffffff,22,0
8406755ffffffff,4,0
8406757ffffffff,24,0
8406759ffffffff,22,0
840675bffffffff,7,0
840675dffffffff,5,0
840676dffffffff,1,0
8406c31ffffffff,7,0
8406c35ffffffff,2,0
8406c37ffffffff,7,0
8406c83ffffffff,12,0
8406c85ffffffff,31,0
8406c87ffffffff,1,0
8406c93ffffffff,2,0
8406c95ffffffff,30,0
8406c9dffffffff,27,0
8406ca1ffffffff,23,0
8406ca3ffffffff,4,0
8406ca5ffffffff,19,0
8406ca7ffffffff,8,0
8406ca9ffffffff,18,0
8406cabffffffff,15,0
8406cadffffffff,7,0
8406cb1ffffffff,30,0
8406cb3ffffffff,3,0
8406cb5ffffffff,23,0
8406cb7ffffffff,22,0
8406cb9ffffffff,32,0
8406cbbffffffff,10,0
8406cbdffffffff,9,0
8406ce1ffffffff,10,0
8406ce5ffffffff,18,0
8406ce7ffffffff,6,0
8406ce9ffffffff,1,0
8406cedffffffff,6,0
8406d81ffffffff,4,0
8406d83ffffffff,4,0
8406d85ffffffff,2,0
8406d87ffffffff,5,0
8406d89ffffffff,3,0
8406d8bffffffff,5,0
8406d8dffffffff,1,0
8406d91ffffffff,8,0
8406d95ffffffff,9,0
8406d97ffffffff,5,0
8406d99ffffffff,11,0
8406d9bffffffff,10,0
8406d9dffffffff,13,0
8406da9ffffffff,6,0
8406dabffffffff,1,0
8406dadffffffff,1,0
8406db1ffffffff,10,0
8406db5ffffffff,1,0
8406db7ffffffff,18,0
8406db9ffffffff,1,0
8406dbbffffffff,9,0
8406dbdffffffff,2,0
8406dc3ffffffff,7,0
8406dc7ffffffff,4,0
8406dcbffffffff,13,0
8406dd1ffffffff,7,0
8406dd3ffffffff,12,0
8406dd5ffffffff,5,0
8406dd7ffffffff,17,0
8406dd9ffffffff,3,0
8406ddbffffffff,17,0
8406dddffffffff,8,0
8406de3ffffffff,1,0
8407401ffffffff,4,0
8407403ffffffff,8,0
8407405ffffffff,7,0
8407407ffffffff,3,0
8407409ffffffff,6,0
840740bffffffff,8,0
840740dffffffff,8,0
8407411ffffffff,33,0
8407413ffffffff,32,0
8407415ffffffff,33,0
8407417ffffffff,35,0
8407419ffffffff,20,0
840741bffffffff,24,0
840741dffffffff,33,0
8407421ffffffff,1,0
8407423ffffffff,9,0
8407427ffffffff,3,0
8407429ffffffff,1,0
840742bffffffff,9,0
840742dffffffff,2,0
8407431ffffffff,13,0
8407433ffffffff,55,0
8407435ffffffff,2,0
8407437ffffffff,15,0
8407439ffffffff,8,0
840743bffffffff,40,0
840743dffffffff,1,0
8407441ffffffff,4,0
8407443ffffffff,7,0
8407445ffffffff,1,0
8407447ffffffff,6,0
8407449ffffffff,2,0
840744bffffffff,10,0
8407451ffffffff,24,0
8407453ffffffff,22,0
8407455ffffffff,5,0
8407457ffffffff,32,0
8407459ffffffff,2,0
840745bffffffff,14,0
840745dffffffff,3,0
8407461ffffffff,4,0
8407463ffffffff,2,0
8407467ffffffff,4,0
8407469ffffffff,3,0
840746bffffffff,2,0
8407481ffffffff,7,0
8407483ffffffff,2,0
8407485ffffffff,8,0
8407487ffffffff,8,0
8407489ffffffff,20,0
840748bffffffff,4,0
840748dffffffff,8,0
8407495ffffffff,1,0
84074a1ffffffff,12,0
84074a3ffffffff,1,0
84074a5ffffffff,11,0
84074a7ffffffff,13,0
84074a9ffffffff,13,0
84074abffffffff,15,0
84074adffffffff,15,0
84074b1ffffffff,2,0
84074b9ffffffff,14,0
84074bdffffffff,8,0
84074c1ffffffff,2,0
84074c3ffffffff,19,0
84074c5ffffffff,31,0
84074c7ffffffff,7,0
84074cdffffffff,16,0
84074d5ffffffff,14,0
84074e1ffffffff,33,0
84074e3ffffffff,26,0
84074e5ffffffff,34,0
84074e7ffffffff,34,0
84074e9ffffffff,23,0
84074ebffffffff,34,0
84074edffffffff,39,0
8407511ffffffff,5,0
8407513ffffffff,3,0
8407515ffffffff,2,0
8407517ffffffff,6,0
8407531ffffffff,1,0
8407533ffffffff,4,0
8407537ffffffff,1,0
8407539ffffffff,2,0
840753bffffffff,3,0
840753dffffffff,2,0
8407581ffffffff,9,0
8407583ffffffff,15,0
8407585ffffffff,5,0
8407587ffffffff,10,0
8407589ffffffff,4,0
840758bffffffff,15,0
840758dffffffff,5,0
8407591ffffffff,21,0
8407593ffffffff,16,0
8407595ffffffff,21,0
8407597ffffffff,19,0
8407599ffffffff,10,0
840759bffffffff,9,0
840759dffffffff,31,0
84075a1ffffffff,4,0
84075a3ffffffff,3,0
84075a5ffffffff,2,0
84075a7ffffffff,4,0
84075a9ffffffff,3,0
84075abffffffff,7,0
84075adffffffff,4,0
84075b1ffffffff,8,0
84075b3ffffffff,19,0
84075b5ffffffff,5,0
84075b7ffffffff,7,0
84075b9ffffffff,8,0
84075bbffffffff,17,0
84075bdffffffff,11,0
84075c1ffffffff,3,0
84075c3ffffffff,5,0
84075c5ffffffff,4,0
84075c7ffffffff,4,0
84075c9ffffffff,5,0
84075cbffffffff,2,0
84075cdffffffff,5,0
84075d1ffffffff,66,0
84075d3ffffffff,15,0
84075d5ffffffff,14,0
84075d7ffffffff,63,0
84075d9ffffffff,58,0
84075dbffffffff,49,0
84075ddffffffff,22,0
84075e1ffffffff,3,0
84075e3ffffffff,3,0
84075e5ffffffff,4,0
84075e7ffffffff,4,0
84075e9ffffffff,5,0
84075ebffffffff,4,0
84075edffffffff,4,0
8407631ffffffff,1,0
8407635ffffffff,2,0
8407637ffffffff,6,0
840763dffffffff,1,0
84076a1ffffffff,5,0
84076a5ffffffff,26,0
84076a7ffffffff,10,0
84076a9ffffffff,17,0
84076adffffffff,29,0
84076e1ffffffff,8,0
84076e3ffffffff,15,0
84076e5ffffffff,1,0
84076e7ffffffff,24,0
84076ebffffffff,1,0
8408001ffffffff,9,0
8408005ffffffff,7,0
8408007ffffffff,6,0
8408009ffffffff,4,0
840800bffffffff,8,0
840800dffffffff,7,0
8408021ffffffff,18,0
8408023ffffffff,19,0
8408025ffffffff,31,0
8408027ffffffff,30,0
8408029ffffffff,10,0
840802bffffffff,14,0
840802dffffffff,13,0
8408031ffffffff,14,0
8408033ffffffff,13,0
8408035ffffffff,34,0
8408037ffffffff,37,0
8408039ffffffff,9,0
840803bffffffff,9,0
840803dffffffff,12,0
8408041ffffffff,5,0
8408043ffffffff,5,0
8408045ffffffff,1,0
8408047ffffffff,6,0
840804bffffffff,8,0
840804dffffffff,2,0
8408051ffffffff,1,0
8408053ffffffff,4,0
8408055ffffffff,2,0
8408057ffffffff,7,0
8408059ffffffff,1,0
840805bffffffff,3,0
840805dffffffff,3,0
8408061ffffffff,10,0
8408063ffffffff,10,0
8408065ffffffff,11,0
8408067ffffffff,8,0
8408069ffffffff,2,0
840806bffffffff,8,0
840806dffffffff,7,0
8408101ffffffff,26,0
8408103ffffffff,9,0
8408105ffffffff,17,0
8408107ffffffff,6,0
8408109ffffffff,32,0
840810bffffffff,31,0
840810dffffffff,37,0
8408111ffffffff,5,0
8408113ffffffff,5,0
8408115ffffffff,8,0
8408117ffffffff,8,0
8408119ffffffff,29,0
840811bffffffff,7,0
840811dffffffff,10,0
8408121ffffffff,14,0
8408123ffffffff,20,0
8408125ffffffff,23,0
8408127ffffffff,24,0
8408129ffffffff,12,0
840812bffffffff,6,0
840812dffffffff,19,0
8408131ffffffff,18,0
8408133ffffffff,17,0
8408135ffffffff,20,0
8408137ffffffff,23,0
8408139ffffffff,8,0
840813bffffffff,11,0
840813dffffffff,13,0
8408141ffffffff,25,0
8408143ffffffff,25,0
8408145ffffffff,12,0
8408147ffffffff,19,0
8408149ffffffff,24,0
840814bffffffff,22,0
840814dffffffff,23,0
8408151ffffffff,51,0
8408153ffffffff,22,0
8408155ffffffff,33,0
8408157ffffffff,39,0
8408159ffffffff,18,0
840815bffffffff,17,0
840815dffffffff,36,0
8408161ffffffff,33,0
8408163ffffffff,32,0
8408165ffffffff,37,0
8408167ffffffff,31,0
8408169ffffffff,19,0
840816bffffffff,29,0
840816dffffffff,25,0
8408181ffffffff,10,0
8408183ffffffff,9,0
8408185ffffffff,9,0
8408187ffffffff,10,0
8408189ffffffff,5,0
840818bffffffff,5,0
840818dffffffff,6,0
8408191ffffffff,5,0
8408193ffffffff,6,0
8408195ffffffff,5,0
8408197ffffffff,5,0
8408199ffffffff,6,0
840819bffffffff,9,0
840819dffffffff,7,0
84081a1ffffffff,17,0
84081a3ffffffff,17,0
84081a5ffffffff,14,0
84081a7ffffffff,15,0
84081a9ffffffff,12,0
84081abffffffff,10,0
84081adffffffff,17,0
84081b1ffffffff,10,0
84081b3ffffffff,6,0
84081b5ffffffff,13,0
84081b7ffffffff,14,0
84081b9ffffffff,5,0
84081bbffffffff,7,0
84081bdffffffff,10,0
84081c1ffffffff,6,0
84081c3ffffffff,5,0
84081c5ffffffff,7,0
84081c7ffffffff,5,0
84081c9ffffffff,26,0
84081cbffffffff,29,0
84081cdffffffff,7,0
84081d1ffffffff,9,0
84081d3ffffffff,6,0
84081d5ffffffff,5,0
84081d7ffffffff,4,0
84081d9ffffffff,33,0
84081dbffffffff,28,0
84081ddffffffff,23,0
84081e1ffffffff,11,0
84081e3ffffffff,9,0
84081e5ffffffff,12,0
84081e7ffffffff,12,0
84081e9ffffffff,4,0
84081ebffffffff,6,0
84081edffffffff,10,0
8408203ffffffff,3,0
840820bffffffff,3,0
8408211ffffffff,1,0
8408213ffffffff,5,0
8408215ffffffff,1,0
8408217ffffffff,2,0
8408219ffffffff,1,0
840821bffffffff,5,0
840821dffffffff,1,0
8408225ffffffff,1,0
8408231ffffffff,3,0
8408233ffffffff,2,0
8408235ffffffff,4,0
8408237ffffffff,5,0
8408239ffffffff,3,0
840823bffffffff,3,0
840823dffffffff,1,0
8408253ffffffff,2,0
8408255ffffffff,2,0
8408257ffffffff,2,0
840825bffffffff,2,0
8408281ffffffff,2,0
8408283ffffffff,15,0
8408285ffffffff,3,0
8408287ffffffff,13,0
8408289ffffffff,1,0
840828bffffffff,3,0
8408291ffffffff,21,0
8408293ffffffff,26,0
8408295ffffffff,21,0
8408297ffffffff,28,0
8408299ffffffff,12,0
840829bffffffff,26,0
840829dffffffff,12,0
84082a1ffffffff,11,0
84082a3ffffffff,11,0
84082a5ffffffff,8,0
84082a7ffffffff,15,0
84082a9ffffffff,4,0
84082abffffffff,12,0
84082adffffffff,3,0
84082b1ffffffff,28,0
84082b3ffffffff,5,0
84082b5ffffffff,30,0
84082b7ffffffff,3,0
84082b9ffffffff,19,0
84082bbffffffff,28,0
84082bdffffffff,18,0
84082c5ffffffff,2,0
84082c9ffffffff,1,0
84082cdffffffff,2,0
84082d3ffffffff,2,0
84082d5ffffffff,3,0
84082d7ffffffff,1,0
84082d9ffffffff,2,0
84082dbffffffff,4,0
84082ddffffffff,3,0
84082e1ffffffff,4,0
84082e3ffffffff,4,0
84082e5ffffffff,2,0
84082e7ffffffff,4,0
84082e9ffffffff,4,0
84082ebffffffff,1,0
84082edffffffff,1,0
8408301ffffffff,1,0
8408303ffffffff,5,0
8408305ffffffff,2,0
8408307ffffffff,2,0
8408309ffffffff,2,0
840830bffffffff,3,0
840830dffffffff,1,0
8408311ffffffff,2,0
8408313ffffffff,1,0
8408315ffffffff,2,0
8408317ffffffff,3,0
8408319ffffffff,1,0
840831bffffffff,2,0
840831dffffffff,6,0
8408321ffffffff,8,0
8408323ffffffff,11,0
8408325ffffffff,18,0
8408327ffffffff,19,0
8408329ffffffff,3,0
840832bffffffff,4,0
840832dffffffff,13,0
8408331ffffffff,12,0
8408333ffffffff,11,0
8408335ffffffff,14,0
8408337ffffffff,9,0
8408339ffffffff,6,0
840833bffffffff,5,0
840833dffffffff,10,0
8408343ffffffff,1,0
