hex,count_good_aircraft,count_bad_aircraft
8400c9dffffffff,1,0
8401043ffffffff,3,0
8401047ffffffff,3,0
8401049ffffffff,1,0
840104dffffffff,1,0
8401059ffffffff,3,0
840105dffffffff,3,0
8401069ffffffff,3,0
840106bffffffff,3,0
8401205ffffffff,1,0
8401215ffffffff,1,0
8401217ffffffff,1,0
8401219ffffffff,1,0
8401221ffffffff,4,0
8401225ffffffff,4,0
8401227ffffffff,2,0
8401229ffffffff,3,1
840122bffffffff,4,0
840122dffffffff,2,1
8401231ffffffff,1,0
8401235ffffffff,1,0
8401239ffffffff,3,0
840123bffffffff,2,0
840123dffffffff,2,0
8401241ffffffff,1,0
8401243ffffffff,1,0
8401245ffffffff,3,0
8401247ffffffff,2,0
8401249ffffffff,1,0
840124bffffffff,2,0
840125dffffffff,1,0
8401261ffffffff,4,0
8401263ffffffff,2,0
8401265ffffffff,5,1
8401267ffffffff,4,1
8401269ffffffff,4,0
840126bffffffff,3,0
840126dffffffff,4,0
84012c1ffffffff,2,0
84012c3ffffffff,1,0
84012c5ffffffff,1,0
84012c7ffffffff,3,0
84012c9ffffffff,1,0
84012cbffffffff,4,0
84012cdffffffff,1,0
8401301ffffffff,1,0
8401303ffffffff,2,1
8401309ffffffff,1,1
840130bffffffff,2,0
8401311ffffffff,1,0
8401313ffffffff,1,0
8401315ffffffff,3,1
8401317ffffffff,3,0
8401319ffffffff,3,0
840131bffffffff,1,0
8401349ffffffff,1,0
840134bffffffff,1,0
8401351ffffffff,6,1
8401353ffffffff,5,0
8401355ffffffff,3,0
8401357ffffffff,5,0
8401359ffffffff,7,1
840135bffffffff,3,0
840135dffffffff,10,0
84032ebffffffff,0,1
8406289ffffffff,4,0
840628dffffffff,2,0
8406299ffffffff,4,0
840629bffffffff,4,0
840629dffffffff,2,0
84062c1ffffffff,1,0
84062c3ffffffff,4,0
84062c9ffffffff,1,0
84062d1ffffffff,5,0
84062d3ffffffff,6,0
84062d5ffffffff,5,0
84062d7ffffffff,5,0
84062d9ffffffff,7,0
84062dbffffffff,7,0
84062ddffffffff,3,0
8406601ffffffff,4,0
8406605ffffffff,13,0
8406609ffffffff,18,0
840660bffffffff,4,0
840660dffffffff,16,0
8406621ffffffff,14,0
8406625ffffffff,11,0
8406627ffffffff,7,0
8406629ffffffff,17,0
840662bffffffff,4,0
840662dffffffff,25,0
840663dffffffff,1,0
8406641ffffffff,15,0
8406643ffffffff,12,0
8406645ffffffff,16,0
8406647ffffffff,12,0
8406649ffffffff,4,0
840664bffffffff,1,0
840664dffffffff,13,0
8406655ffffffff,1,0
840665dffffffff,2,0
8406661ffffffff,23,0
8406663ffffffff,15,0
8406665ffffffff,17,0
8406667ffffffff,27,0
8406669ffffffff,14,0
840666bffffffff,23,0
840666dffffffff,24,0
8406703ffffffff,12,0
8406709ffffffff,1,0
840670bffffffff,1,0
8406715ffffffff,12,0
8406719ffffffff,3,0
840671dffffffff,44,0
8406743ffffffff,10,0
840674bffffffff,9,0
8406751ffffffff,43,0
8406753ffffffff,9,0
8406755ffffffff,5,0
8406757ffffffff,45,0
8406759ffffffff,38,0
840675bffffffff,15,0
840675dffffffff,13,0
8406c31ffffffff,1,0
8406c33ffffffff,3,0
8406c81ffffffff,1,0
8406c83ffffffff,28,0
8406c85ffffffff,29,0
8406c87ffffffff,1,0
8406c8dffffffff,4,0
8406c95ffffffff,25,0
8406c9dffffffff,17,0
8406ca1ffffffff,15,0
8406ca3ffffffff,16,0
8406ca5ffffffff,9,0
8406ca7ffffffff,14,0
8406ca9ffffffff,4,0
8406cabffffffff,26,0
8406cadffffffff,7,0
8406cb1ffffffff,26,0
8406cb3ffffffff,8,0
8406cb5ffffffff,5,0
8406cb7ffffffff,21,0
8406cb9ffffffff,30,0
8406cbbffffffff,23,0
8406cbdffffffff,2,0
8406ce1ffffffff,19,0
8406ce3ffffffff,1,0
8406ce5ffffffff,20,0
8406ce7ffffffff,9,0
8406ce9ffffffff,7,0
8406cedffffffff,9,0
8406d81ffffffff,7,0
8406d83ffffffff,6,0
8406d85ffffffff,5,0
8406d87ffffffff,1,0
8406d89ffffffff,7,0
8406d8bffffffff,6,0
8406d91ffffffff,6,0
8406d93ffffffff,3,0
8406d95ffffffff,12,0
8406d97ffffffff,4,0
8406d99ffffffff,10,0
8406d9bffffffff,7,0
8406d9dffffffff,14,0
8406da5ffffffff,1,0
8406dabffffffff,5,0
8406dadffffffff,3,0
8406db1ffffffff,2,0
8406db3ffffffff,1,0
8406db7ffffffff,1,0
8406db9ffffffff,4,0
8406dbbffffffff,8,0
8406dc1ffffffff,1,0
8406dc3ffffffff,6,0
8406dc7ffffffff,2,0
8406dcbffffffff,7,0
8406dd1ffffffff,13,0
8406dd3ffffffff,13,0
8406dd5ffffffff,5,0
8406dd7ffffffff,16,0
8406dd9ffffffff,10,0
8406ddbffffffff,20,0
8406dddffffffff,12,0
8407401ffffffff,9,0
8407403ffffffff,8,0
8407405ffffffff,7,0
8407407ffffffff,10,0
8407409ffffffff,7,0
840740bffffffff,7,0
840740dffffffff,6,0
8407411ffffffff,1,0
8407413ffffffff,7,0
8407415ffffffff,21,0
8407417ffffffff,19,0
8407421ffffffff,1,0
8407423ffffffff,12,0
8407425ffffffff,1,0
8407427ffffffff,6,0
840742bffffffff,12,0
840742dffffffff,1,0
8407431ffffffff,40,0
8407433ffffffff,64,0
8407435ffffffff,8,0
8407437ffffffff,40,0
8407439ffffffff,10,0
840743bffffffff,54,0
840743dffffffff,8,0
8407443ffffffff,7,0
8407445ffffffff,4,0
8407447ffffffff,4,0
840744bffffffff,6,0
8407455ffffffff,4,0
8407461ffffffff,8,0
8407463ffffffff,4,0
8407467ffffffff,9,0
8407469ffffffff,1,0
840746bffffffff,8,0
8407485ffffffff,2,0
8407487ffffffff,1,0
8407489ffffffff,5,0
840748dffffffff,7,0
84074a1ffffffff,16,0
84074a3ffffffff,1,0
84074a5ffffffff,18,0
84074a7ffffffff,12,0
84074a9ffffffff,19,0
84074abffffffff,3,0
84074adffffffff,8,0
84074bdffffffff,3,0
84074c1ffffffff,10,0
84074c3ffffffff,4,0
84074c5ffffffff,20,0
84074c7ffffffff,11,0
84074e1ffffffff,46,0
84074e3ffffffff,15,0
84074e5ffffffff,59,0
84074e7ffffffff,28,0
84074e9ffffffff,41,0
84074ebffffffff,25,0
84074edffffffff,37,0
8407511ffffffff,9,0
8407513ffffffff,7,0
8407515ffffffff,10,0
8407517ffffffff,8,0
8407519ffffffff,7,0
840751bffffffff,4,0
840751dffffffff,8,0
8407531ffffffff,5,0
8407533ffffffff,6,0
8407537ffffffff,11,0
8407539ffffffff,1,0
840753bffffffff,9,0
8407581ffffffff,19,0
8407583ffffffff,31,0
8407585ffffffff,6,0
8407587ffffffff,31,0
8407589ffffffff,14,0
840758bffffffff,34,0
840758dffffffff,12,0
8407591ffffffff,30,0
8407593ffffffff,18,0
8407595ffffffff,51,0
8407597ffffffff,34,0
8407599ffffffff,9,0
840759bffffffff,21,0
840759dffffffff,63,0
84075a1ffffffff,6,0
84075a3ffffffff,5,0
84075a5ffffffff,5,0
84075a7ffffffff,4,0
84075a9ffffffff,8,0
84075abffffffff,14,0
84075adffffffff,12,0
84075b1ffffffff,17,0
84075b3ffffffff,51,0
84075b5ffffffff,10,0
84075b7ffffffff,24,0
84075b9ffffffff,19,0
84075bbffffffff,52,0
84075bdffffffff,21,0
84075c1ffffffff,4,0
84075c3ffffffff,18,0
84075c5ffffffff,5,0
84075c7ffffffff,15,0
84075c9ffffffff,3,0
84075cbffffffff,18,0
84075cdffffffff,6,0
84075d1ffffffff,113,0
84075d3ffffffff,15,0
84075d5ffffffff,23,0
84075d7ffffffff,103,0
84075d9ffffffff,82,0
84075dbffffffff,56,0
84075ddffffffff,44,0
84075e1ffffffff,6,0
84075e3ffffffff,10,0
84075e5ffffffff,7,0
84075e7ffffffff,13,0
84075e9ffffffff,8,0
84075ebffffffff,5,0
84075edffffffff,8,0
8408001ffffffff,2,0
8408005ffffffff,7,0
8408007ffffffff,9,0
8408009ffffffff,2,0
840800bffffffff,4,0
840800dffffffff,3,0
8408021ffffffff,28,0
8408023ffffffff,40,0
8408025ffffffff,45,0
8408027ffffffff,38,0
8408029ffffffff,19,0
840802bffffffff,22,0
840802dffffffff,26,0
8408031ffffffff,27,0
8408033ffffffff,30,0
8408035ffffffff,48,0
8408037ffffffff,48,0
8408039ffffffff,11,0
840803bffffffff,12,0
840803dffffffff,24,0
8408041ffffffff,1,0
8408043ffffffff,1,0
8408045ffffffff,1,0
8408047ffffffff,1,0
8408049ffffffff,1,0
840804bffffffff,1,0
840804dffffffff,1,0
8408053ffffffff,3,0
8408055ffffffff,2,0
8408057ffffffff,3,0
840805dffffffff,1,0
8408061ffffffff,5,0
8408063ffffffff,2,0
8408065ffffffff,9,0
8408067ffffffff,3,0
8408069ffffffff,2,0
840806bffffffff,2,0
840806dffffffff,4,0
8408101ffffffff,42,0
8408103ffffffff,10,0
8408105ffffffff,15,0
8408107ffffffff,6,0
8408109ffffffff,51,0
