hex,count_good_aircraft,count_bad_aircraft
8401043ffffffff,3,0
8401047ffffffff,3,0
8401049ffffffff,1,0
840104dffffffff,1,0
8401059ffffffff,3,0
840105bffffffff,1,0
840105dffffffff,3,0
840106bffffffff,3,0
8401201ffffffff,2,0
8401205ffffffff,2,0
8401207ffffffff,6,0
840120dffffffff,1,0
8401217ffffffff,3,0
8401219ffffffff,5,0
8401221ffffffff,6,0
8401223ffffffff,1,0
8401225ffffffff,5,0
8401227ffffffff,5,0
8401229ffffffff,4,0
840122bffffffff,7,0
840122dffffffff,3,0
8401231ffffffff,3,0
8401233ffffffff,2,0
8401235ffffffff,1,0
8401237ffffffff,1,0
8401239ffffffff,2,0
840123dffffffff,2,0
8401245ffffffff,1,0
8401247ffffffff,1,0
8401257ffffffff,5,0
8401259ffffffff,4,0
840125bffffffff,2,0
8401261ffffffff,4,0
8401263ffffffff,2,0
8401265ffffffff,3,0
8401267ffffffff,5,1
8401269ffffffff,1,0
84012c1ffffffff,6,0
84012c3ffffffff,2,0
84012c5ffffffff,4,0
84012c7ffffffff,2,0
84012c9ffffffff,6,0
84012cbffffffff,4,0
8401311ffffffff,1,0
840131bffffffff,1,0
8401351ffffffff,7,0
8401355ffffffff,5,0
8401359ffffffff,2,0
840135bffffffff,3,0
840135dffffffff,5,0
840301bffffffff,0,1
84030cdffffffff,0,1
8403233ffffffff,1,0
84032c7ffffffff,1,0
8406281ffffffff,1,0
8406289ffffffff,2,0
840628bffffffff,1,0
840628dffffffff,1,0
840629bffffffff,2,0
840629dffffffff,3,0
84062c3ffffffff,2,0
84062cbffffffff,2,0
84062d1ffffffff,10,0
84062d3ffffffff,7,0
84062d5ffffffff,7,0
84062d7ffffffff,3,0
84062d9ffffffff,9,0
84062dbffffffff,7,0
84062ddffffffff,3,0
8406601ffffffff,3,0
8406605ffffffff,4,0
8406609ffffffff,12,0
840660bffffffff,2,0
840660dffffffff,6,0
8406621ffffffff,15,0
8406625ffffffff,12,0
8406627ffffffff,13,0
8406629ffffffff,10,0
840662bffffffff,4,0
840662dffffffff,17,0
840663dffffffff,1,0
8406641ffffffff,5,0
8406643ffffffff,6,0
8406645ffffffff,4,0
8406647ffffffff,5,0
8406649ffffffff,4,0
840664dffffffff,3,0
8406655ffffffff,2,0
8406661ffffffff,15,0
8406663ffffffff,6,0
8406665ffffffff,7,0
8406667ffffffff,17,0
8406669ffffffff,11,0
840666bffffffff,7,0
840666dffffffff,14,0
8406703ffffffff,2,0
8406709ffffffff,2,0
840670bffffffff,3,0
8406713ffffffff,1,0
8406715ffffffff,1,0
8406719ffffffff,1,0
840671dffffffff,18,0
8406741ffffffff,1,0
8406743ffffffff,4,0
8406747ffffffff,1,0
8406749ffffffff,2,0
840674bffffffff,3,0
8406751ffffffff,19,0
8406753ffffffff,4,0
8406755ffffffff,1,0
8406757ffffffff,19,0
8406759ffffffff,20,0
840675bffffffff,6,0
840675dffffffff,5,0
8406c13ffffffff,1,0
8406c17ffffffff,1,0
8406c31ffffffff,3,0
8406c33ffffffff,1,0
8406c37ffffffff,4,0
8406c3bffffffff,1,0
8406c83ffffffff,12,0
8406c85ffffffff,17,0
8406c87ffffffff,1,0
8406c93ffffffff,3,0
8406c95ffffffff,19,0
8406c9dffffffff,15,0
8406ca1ffffffff,12,0
8406ca3ffffffff,5,0
8406ca5ffffffff,15,0
8406ca7ffffffff,5,0
8406ca9ffffffff,11,0
8406cabffffffff,8,0
8406cadffffffff,7,0
8406cb1ffffffff,18,0
8406cb3ffffffff,5,0
8406cb5ffffffff,10,0
8406cb7ffffffff,12,0
8406cb9ffffffff,21,0
8406cbbffffffff,9,0
8406cbdffffffff,2,0
8406ce1ffffffff,10,0
8406ce5ffffffff,12,0
8406ce7ffffffff,7,0
8406ce9ffffffff,4,0
8406cedffffffff,5,0
8406d81ffffffff,2,0
8406d83ffffffff,5,0
8406d85ffffffff,2,0
8406d87ffffffff,2,0
8406d89ffffffff,3,0
8406d8bffffffff,6,0
8406d91ffffffff,12,0
8406d93ffffffff,1,0
8406d95ffffffff,8,0
8406d97ffffffff,2,0
8406d99ffffffff,7,0
8406d9bffffffff,12,0
8406d9dffffffff,6,0
8406dabffffffff,1,0
8406db1ffffffff,5,0
8406db7ffffffff,11,0
8406db9ffffffff,2,0
8406dbbffffffff,4,0
8406dbdffffffff,1,0
8406dc1ffffffff,1,0
8406dc3ffffffff,6,0
8406dc7ffffffff,1,0
8406dc9ffffffff,2,0
8406dcbffffffff,7,0
8406dd1ffffffff,12,0
8406dd3ffffffff,7,0
8406dd5ffffffff,4,0
8406dd7ffffffff,7,0
8406dd9ffffffff,7,0
8406ddbffffffff,11,0
8406dddffffffff,10,0
8406debffffffff,1,0
8407401ffffffff,8,0
8407403ffffffff,4,0
8407405ffffffff,14,0
8407407ffffffff,6,0
8407409ffffffff,3,0
840740bffffffff,6,0
840740dffffffff,9,0
8407411ffffffff,1,0
8407413ffffffff,2,0
8407415ffffffff,3,0
8407417ffffffff,13,0
840741dffffffff,1,0
8407421ffffffff,3,0
8407423ffffffff,22,0
8407427ffffffff,9,0
8407429ffffffff,4,0
840742bffffffff,22,0
840742dffffffff,1,0
8407431ffffffff,11,0
8407433ffffffff,41,0
8407435ffffffff,8,0
8407437ffffffff,20,0
8407439ffffffff,6,0
840743bffffffff,13,0
840743dffffffff,6,0
8407441ffffffff,1,0
8407443ffffffff,1,0
8407445ffffffff,1,0
8407447ffffffff,6,0
840744bffffffff,2,0
8407455ffffffff,2,0
840745dffffffff,3,0
8407461ffffffff,8,0
8407463ffffffff,3,0
8407467ffffffff,1,0
8407469ffffffff,2,0
840746bffffffff,1,0
8407485ffffffff,2,0
840748dffffffff,4,0
84074a1ffffffff,6,0
84074a5ffffffff,5,0
84074a7ffffffff,3,0
84074a9ffffffff,7,0
84074adffffffff,2,0
84074c1ffffffff,12,0
84074c3ffffffff,7,0
84074c5ffffffff,11,0
84074c7ffffffff,12,0
84074e1ffffffff,16,0
84074e3ffffffff,14,0
84074e5ffffffff,34,0
84074e7ffffffff,14,0
84074e9ffffffff,8,0
84074ebffffffff,17,0
84074edffffffff,26,0
8407507ffffffff,1,0
8407511ffffffff,6,0
8407513ffffffff,1,0
8407515ffffffff,6,0
8407517ffffffff,6,0
8407519ffffffff,1,0
840751dffffffff,2,0
8407533ffffffff,8,0
8407535ffffffff,1,0
8407537ffffffff,1,0
8407539ffffffff,1,0
840753bffffffff,8,0
840753dffffffff,1,0
8407553ffffffff,1,0
8407581ffffffff,5,0
8407583ffffffff,10,0
8407585ffffffff,7,0
8407587ffffffff,9,0
8407589ffffffff,2,0
840758bffffffff,12,0
840758dffffffff,6,0
8407591ffffffff,16,0
8407593ffffffff,6,0
8407595ffffffff,22,0
8407597ffffffff,18,0
8407599ffffffff,15,0
840759bffffffff,6,0
840759dffffffff,26,0
84075a1ffffffff,3,0
84075a3ffffffff,8,0
84075a5ffffffff,4,0
84075a7ffffffff,2,0
84075a9ffffffff,5,0
84075abffffffff,7,0
84075adffffffff,4,0
84075b1ffffffff,3,0
84075b3ffffffff,22,0
84075b5ffffffff,3,0
84075b7ffffffff,5,0
84075b9ffffffff,4,0
84075bbffffffff,23,0
84075bdffffffff,10,0
84075c1ffffffff,7,0
84075c3ffffffff,4,0
84075c5ffffffff,13,0
84075c7ffffffff,7,0
84075c9ffffffff,14,0
84075cbffffffff,7,0
84075cdffffffff,11,0
84075d1ffffffff,69,0
84075d3ffffffff,19,0
84075d5ffffffff,8,0
84075d7ffffffff,33,0
84075d9ffffffff,53,0
84075dbffffffff,48,0
84075ddffffffff,20,0
84075e1ffffffff,7,0
84075e3ffffffff,6,0
84075e5ffffffff,6,0
84075e7ffffffff,4,0
84075e9ffffffff,7,0
84075ebffffffff,6,0
8407637ffffffff,1,0
8408001ffffffff,4,0
8408005ffffffff,6,0
8408007ffffffff,6,0
840800bffffffff,4,0
840800dffffffff,4,0
8408021ffffffff,26,0
8408023ffffffff,31,0
8408025ffffffff,40,0
8408027ffffffff,36,0
8408029ffffffff,14,0
840802bffffffff,21,0
840802dffffffff,22,0
8408031ffffffff,28,0
8408033ffffffff,27,0
8408035ffffffff,49,0
8408037ffffffff,47,0
8408039ffffffff,13,0
840803bffffffff,13,0
840803dffffffff,20,0
8408041ffffffff,1,0
8408047ffffffff,1,0
840804bffffffff,1,0
8408051ffffffff,1,0
8408057ffffffff,5,0
8408059ffffffff,1,0
