hex,count_good_aircraft,count_bad_aircraft
8401211ffffffff,1,0
8401219ffffffff,1,0
840121bffffffff,2,0
840124bffffffff,1,0
84012c1ffffffff,1,0
84012c3ffffffff,1,0
84012c9ffffffff,5,0
84012cbffffffff,6,0
84012cdffffffff,1,0
8401301ffffffff,2,1
8401309ffffffff,1,1
8401351ffffffff,9,0
8401355ffffffff,6,0
8401357ffffffff,2,0
8401359ffffffff,5,0
840135bffffffff,1,0
840135dffffffff,11,0
8404841ffffffff,1,0
8404845ffffffff,1,0
840484bffffffff,1,0
840485dffffffff,1,0
8404861ffffffff,2,0
8404867ffffffff,1,0
8404869ffffffff,3,0
8404a09ffffffff,1,0
8404a0dffffffff,1,0
8404a47ffffffff,1,0
8404a55ffffffff,1,0
8404a63ffffffff,1,0
8404a65ffffffff,1,0
8404a67ffffffff,1,0
8404b11ffffffff,2,0
8404b13ffffffff,2,0
8404b17ffffffff,3,0
8404b19ffffffff,2,0
8404b31ffffffff,1,0
8404b3bffffffff,1,0
8404b3dffffffff,1,0
8404b53ffffffff,2,0
8404b5bffffffff,2,0
84059b3ffffffff,1,0
84059bbffffffff,1,0
8406281ffffffff,2,0
8406283ffffffff,1,0
8406289ffffffff,3,0
840628bffffffff,2,0
8406291ffffffff,3,0
8406293ffffffff,4,0
8406297ffffffff,5,0
8406299ffffffff,4,0
840629bffffffff,4,0
840629dffffffff,1,0
84062c3ffffffff,3,0
84062c7ffffffff,1,0
84062cbffffffff,1,0
84062d1ffffffff,3,0
84062d3ffffffff,4,0
84062d5ffffffff,1,0
84062d7ffffffff,3,0
84062d9ffffffff,3,0
84062dbffffffff,5,0
84062ddffffffff,1,0
8406601ffffffff,12,0
8406603ffffffff,9,0
8406605ffffffff,1,0
8406607ffffffff,2,0
8406609ffffffff,14,0
840660bffffffff,18,0
840660dffffffff,10,0
8406615ffffffff,1,0
840661dffffffff,1,0
8406621ffffffff,13,0
8406625ffffffff,5,0
8406627ffffffff,1,0
8406629ffffffff,14,0
840662dffffffff,13,0
8406639ffffffff,1,0
8406641ffffffff,11,0
8406643ffffffff,2,0
8406645ffffffff,11,0
8406647ffffffff,11,0
8406649ffffffff,7,0
840664dffffffff,13,0
8406655ffffffff,3,0
8406661ffffffff,15,0
8406663ffffffff,14,0
8406665ffffffff,13,0
8406667ffffffff,12,0
8406669ffffffff,15,0
840666bffffffff,17,0
840666dffffffff,23,0
8406703ffffffff,4,0
840670bffffffff,1,0
8406715ffffffff,1,0
840671dffffffff,12,0
8406743ffffffff,2,0
8406749ffffffff,2,0
840674bffffffff,4,0
840674dffffffff,1,0
8406751ffffffff,14,0
8406755ffffffff,2,0
8406757ffffffff,13,0
8406759ffffffff,18,0
840675dffffffff,7,0
8406c31ffffffff,14,0
8406c33ffffffff,8,0
8406c35ffffffff,5,0
8406c37ffffffff,5,0
8406c81ffffffff,1,0
8406c83ffffffff,9,0
8406c85ffffffff,28,0
8406c87ffffffff,2,0
8406c93ffffffff,1,0
8406c95ffffffff,11,0
8406c9dffffffff,4,0
8406ca1ffffffff,22,0
8406ca3ffffffff,1,0
8406ca5ffffffff,20,0
8406ca7ffffffff,9,0
8406ca9ffffffff,15,0
8406cabffffffff,15,0
8406cadffffffff,6,0
8406cb1ffffffff,9,0
8406cb3ffffffff,4,0
8406cb5ffffffff,10,0
8406cb7ffffffff,10,0
8406cb9ffffffff,12,0
8406cbbffffffff,9,0
8406cbdffffffff,8,0
8406ce1ffffffff,4,0
8406ce5ffffffff,11,0
8406ce7ffffffff,8,0
8406ce9ffffffff,1,0
8406cedffffffff,6,0
8406d81ffffffff,6,0
8406d83ffffffff,5,0
8406d85ffffffff,8,0
8406d87ffffffff,5,0
8406d89ffffffff,5,0
8406d8bffffffff,4,0
8406d8dffffffff,2,0
8406d91ffffffff,12,0
8406d93ffffffff,3,0
8406d95ffffffff,2,0
8406d97ffffffff,9,0
8406d99ffffffff,8,0
8406d9bffffffff,17,0
8406d9dffffffff,5,0
8406da1ffffffff,1,0
8406da3ffffffff,1,0
8406da9ffffffff,4,0
8406dabffffffff,3,0
8406dadffffffff,2,0
8406db1ffffffff,5,0
8406db3ffffffff,2,0
8406db5ffffffff,1,0
8406db7ffffffff,10,0
8406db9ffffffff,3,0
8406dbbffffffff,2,0
8406dbdffffffff,9,0
8406dc1ffffffff,2,0
8406dc3ffffffff,4,0
8406dc7ffffffff,4,0
8406dcbffffffff,13,0
8406dd1ffffffff,17,0
8406dd3ffffffff,12,0
8406dd5ffffffff,5,0
8406dd7ffffffff,8,0
8406dd9ffffffff,14,0
8406ddbffffffff,17,0
8406dddffffffff,12,0
8406debffffffff,2,0
8407401ffffffff,4,0
8407403ffffffff,8,0
8407405ffffffff,5,0
8407407ffffffff,6,0
8407409ffffffff,4,0
840740bffffffff,9,0
840740dffffffff,2,0
8407411ffffffff,35,0
8407413ffffffff,21,0
8407415ffffffff,23,0
8407417ffffffff,37,0
8407419ffffffff,13,0
840741bffffffff,31,0
840741dffffffff,21,0
8407423ffffffff,8,0
8407427ffffffff,2,0
840742bffffffff,10,0
840742dffffffff,1,0
8407431ffffffff,11,0
8407433ffffffff,47,0
8407435ffffffff,6,0
8407437ffffffff,15,0
8407439ffffffff,7,0
840743bffffffff,25,0
840743dffffffff,4,0
8407441ffffffff,1,0
8407443ffffffff,4,0
8407445ffffffff,1,0
8407447ffffffff,2,0
8407449ffffffff,1,0
840744bffffffff,5,0
8407451ffffffff,15,0
8407453ffffffff,14,0
8407455ffffffff,6,0
8407457ffffffff,18,0
8407459ffffffff,1,0
840745bffffffff,9,0
840745dffffffff,3,0
8407461ffffffff,1,0
8407467ffffffff,1,0
8407469ffffffff,2,0
8407481ffffffff,4,0
8407483ffffffff,1,0
8407485ffffffff,2,0
8407487ffffffff,13,0
8407489ffffffff,31,0
840748bffffffff,1,0
840748dffffffff,22,0
84074a1ffffffff,8,0
84074a5ffffffff,10,0
84074a7ffffffff,8,0
84074a9ffffffff,10,0
84074abffffffff,9,0
84074adffffffff,9,0
84074b1ffffffff,1,0
84074b9ffffffff,8,0
84074bbffffffff,1,0
84074bdffffffff,11,0
84074c1ffffffff,5,0
84074c3ffffffff,13,0
84074c5ffffffff,28,0
84074c7ffffffff,18,0
84074c9ffffffff,1,0
84074cdffffffff,16,0
84074d1ffffffff,1,0
84074d5ffffffff,12,0
84074e1ffffffff,24,0
84074e3ffffffff,30,0
84074e5ffffffff,37,0
84074e7ffffffff,35,0
84074e9ffffffff,16,0
84074ebffffffff,30,0
84074edffffffff,38,0
8407511ffffffff,6,0
8407515ffffffff,1,0
8407517ffffffff,7,0
840751bffffffff,1,0
8407531ffffffff,1,0
8407533ffffffff,2,0
8407537ffffffff,2,0
840753bffffffff,2,0
