hex,count_good_aircraft,count_bad_aircraft
8401043ffffffff,2,0
8401047ffffffff,1,0
8401049ffffffff,1,0
840104bffffffff,1,0
8401051ffffffff,1,0
8401059ffffffff,7,0
840105bffffffff,3,0
840105dffffffff,3,0
8401069ffffffff,1,0
840106bffffffff,1,0
8401201ffffffff,5,3
8401203ffffffff,1,0
8401205ffffffff,2,0
8401207ffffffff,4,0
840120bffffffff,1,0
840120dffffffff,7,3
8401211ffffffff,1,0
8401213ffffffff,1,0
8401217ffffffff,1,0
8401221ffffffff,3,0
8401223ffffffff,2,0
8401225ffffffff,5,0
8401227ffffffff,4,0
8401229ffffffff,1,0
840122bffffffff,3,0
840122dffffffff,2,0
8401231ffffffff,4,0
8401233ffffffff,4,0
8401237ffffffff,1,0
8401239ffffffff,4,0
8401241ffffffff,4,0
8401245ffffffff,4,1
8401247ffffffff,7,2
840124bffffffff,3,0
840124dffffffff,2,0
8401259ffffffff,2,0
8401261ffffffff,5,0
8401263ffffffff,5,0
8401265ffffffff,2,1
8401267ffffffff,4,1
8401269ffffffff,4,2
840126bffffffff,5,0
840126dffffffff,1,0
84012c1ffffffff,2,0
84012c3ffffffff,1,0
84012c7ffffffff,3,0
84012c9ffffffff,2,0
84012cbffffffff,4,0
84012d5ffffffff,1,0
8401303ffffffff,1,0
840130bffffffff,2,0
8401317ffffffff,1,1
8401319ffffffff,3,0
840131dffffffff,2,0
8401343ffffffff,1,0
8401349ffffffff,1,0
840134bffffffff,1,0
8401351ffffffff,7,0
8401353ffffffff,7,0
8401355ffffffff,2,0
8401357ffffffff,4,0
8401359ffffffff,7,3
840135bffffffff,3,1
840135dffffffff,9,0
8403225ffffffff,1,0
8403227ffffffff,1,0
8403263ffffffff,0,1
8406281ffffffff,1,0
8406289ffffffff,3,0
840628bffffffff,4,0
840628dffffffff,1,0
8406291ffffffff,3,0
8406293ffffffff,1,0
8406295ffffffff,1,0
8406299ffffffff,4,0
840629bffffffff,6,0
840629dffffffff,3,0
84062c1ffffffff,5,0
84062c3ffffffff,4,0
84062cbffffffff,2,0
84062d1ffffffff,14,0
84062d3ffffffff,5,0
84062d5ffffffff,13,0
84062d7ffffffff,5,0
84062d9ffffffff,14,0
84062dbffffffff,5,0
84062ddffffffff,2,0
8406601ffffffff,8,0
8406605ffffffff,15,0
8406607ffffffff,5,0
8406609ffffffff,17,0
840660bffffffff,5,0
840660dffffffff,9,0
8406621ffffffff,21,0
8406625ffffffff,13,0
8406627ffffffff,13,0
8406629ffffffff,16,0
840662bffffffff,15,0
840662dffffffff,25,0
8406631ffffffff,1,0
840663dffffffff,3,0
8406641ffffffff,10,0
8406643ffffffff,9,0
8406645ffffffff,20,0
8406647ffffffff,3,0
8406649ffffffff,6,0
840664bffffffff,4,0
840664dffffffff,20,0
8406655ffffffff,2,0
840665dffffffff,2,0
8406661ffffffff,33,0
8406663ffffffff,16,0
8406665ffffffff,17,0
8406667ffffffff,34,0
8406669ffffffff,21,0
840666bffffffff,24,0
840666dffffffff,30,0
8406703ffffffff,18,0
8406709ffffffff,1,0
840670bffffffff,1,0
8406715ffffffff,8,0
8406719ffffffff,1,0
840671bffffffff,1,0
840671dffffffff,30,0
8406739ffffffff,2,0
840673bffffffff,1,0
8406743ffffffff,6,0
8406749ffffffff,1,0
840674bffffffff,3,0
8406751ffffffff,22,0
8406753ffffffff,7,0
8406755ffffffff,2,0
8406757ffffffff,30,0
8406759ffffffff,22,0
840675bffffffff,16,0
840675dffffffff,8,0
8406c31ffffffff,1,0
8406c37ffffffff,3,0
8406c83ffffffff,9,0
8406c85ffffffff,22,0
8406c87ffffffff,1,0
8406c8dffffffff,3,0
8406c93ffffffff,1,0
8406c95ffffffff,13,0
8406c9dffffffff,9,0
8406ca1ffffffff,16,0
8406ca3ffffffff,8,0
8406ca5ffffffff,7,0
8406ca7ffffffff,11,0
8406ca9ffffffff,8,0
8406cabffffffff,17,0
8406cadffffffff,2,0
8406cb1ffffffff,11,0
8406cb3ffffffff,4,0
8406cb5ffffffff,3,0
8406cb7ffffffff,8,0
8406cb9ffffffff,15,0
8406cbbffffffff,8,0
8406cbdffffffff,3,0
8406ce1ffffffff,13,0
8406ce3ffffffff,2,0
8406ce5ffffffff,13,0
8406ce7ffffffff,3,0
8406d81ffffffff,3,0
8406d83ffffffff,4,0
8406d85ffffffff,6,0
8406d87ffffffff,2,0
8406d89ffffffff,3,0
8406d8bffffffff,5,0
8406d8dffffffff,4,0
8406d91ffffffff,8,0
8406d95ffffffff,16,0
8406d97ffffffff,4,0
8406d99ffffffff,15,0
8406d9bffffffff,3,0
8406d9dffffffff,13,0
8406da1ffffffff,1,0
8406da3ffffffff,1,0
8406da5ffffffff,4,0
8406da9ffffffff,3,0
8406dabffffffff,6,0
8406dadffffffff,5,0
8406db1ffffffff,4,0
8406db3ffffffff,1,0
8406db9ffffffff,5,0
