hex,count_good_aircraft,count_bad_aircraft
84005bbffffffff,1,0
8401043ffffffff,1,0
8401047ffffffff,1,0
8401049ffffffff,3,0
840104bffffffff,2,0
840104dffffffff,1,0
8401059ffffffff,2,0
840105bffffffff,2,0
840105dffffffff,3,0
840106bffffffff,1,0
8401201ffffffff,4,0
8401203ffffffff,2,0
8401205ffffffff,2,0
8401207ffffffff,4,0
840120dffffffff,2,0
8401211ffffffff,1,0
8401217ffffffff,1,0
840121bffffffff,1,0
840121dffffffff,1,0
8401221ffffffff,3,0
8401223ffffffff,1,0
8401225ffffffff,6,0
8401227ffffffff,5,0
8401229ffffffff,3,1
840122bffffffff,3,0
8401231ffffffff,4,0
8401233ffffffff,4,0
8401235ffffffff,3,0
8401237ffffffff,3,0
8401239ffffffff,3,0
840124bffffffff,1,0
8401251ffffffff,1,0
8401253ffffffff,1,0
8401257ffffffff,1,0
8401259ffffffff,2,0
840125bffffffff,1,0
8401261ffffffff,5,0
8401263ffffffff,3,1
8401265ffffffff,4,1
8401267ffffffff,6,1
840126bffffffff,2,0
840126dffffffff,1,0
84012c1ffffffff,4,0
84012c3ffffffff,4,0
84012c5ffffffff,2,0
84012c7ffffffff,2,0
84012c9ffffffff,3,0
84012cbffffffff,2,0
84012ddffffffff,1,0
8401301ffffffff,1,1
8401303ffffffff,1,0
840130bffffffff,3,0
8401311ffffffff,1,0
8401315ffffffff,1,0
8401319ffffffff,2,0
840131bffffffff,1,0
840131dffffffff,2,0
8401343ffffffff,1,0
8401349ffffffff,2,0
840134bffffffff,2,0
8401351ffffffff,11,0
8401353ffffffff,3,0
8401355ffffffff,5,0
8401357ffffffff,3,0
8401359ffffffff,9,1
840135bffffffff,6,1
840135dffffffff,12,0
8406289ffffffff,1,0
840628bffffffff,1,0
8406291ffffffff,2,0
8406293ffffffff,2,0
8406297ffffffff,1,0
8406299ffffffff,4,0
840629bffffffff,2,0
840629dffffffff,1,0
84062c1ffffffff,1,0
84062c3ffffffff,1,0
84062d1ffffffff,4,0
84062d3ffffffff,3,0
84062d5ffffffff,2,0
84062d7ffffffff,1,0
84062d9ffffffff,3,0
84062dbffffffff,3,0
84062ddffffffff,3,0
8406601ffffffff,2,0
8406605ffffffff,21,0
8406609ffffffff,24,0
840660bffffffff,2,0
840660dffffffff,25,0
8406621ffffffff,32,0
8406625ffffffff,3,0
8406627ffffffff,6,0
8406629ffffffff,30,0
840662bffffffff,13,0
840662dffffffff,18,0
8406641ffffffff,14,0
8406643ffffffff,22,0
8406645ffffffff,15,0
8406647ffffffff,17,0
8406649ffffffff,6,0
840664bffffffff,2,0
840664dffffffff,22,0
8406655ffffffff,1,0
8406661ffffffff,24,0
8406663ffffffff,21,0
8406665ffffffff,26,0
8406667ffffffff,15,0
8406669ffffffff,21,0
840666bffffffff,25,0
840666dffffffff,22,0
8406703ffffffff,13,0
840670bffffffff,6,0
8406711ffffffff,1,0
8406715ffffffff,6,0
8406719ffffffff,2,0
840671bffffffff,2,0
840671dffffffff,49,0
8406743ffffffff,6,0
840674bffffffff,8,0
840674dffffffff,4,0
8406751ffffffff,48,0
8406753ffffffff,3,0
8406755ffffffff,3,0
8406757ffffffff,50,0
8406759ffffffff,44,0
840675bffffffff,13,0
840675dffffffff,5,0
8406c31ffffffff,2,0
8406c37ffffffff,1,0
8406c83ffffffff,39,0
8406c85ffffffff,47,0
8406c87ffffffff,1,0
8406c95ffffffff,46,0
8406c9dffffffff,38,0
8406ca1ffffffff,21,0
8406ca3ffffffff,30,0
8406ca5ffffffff,3,0
8406ca7ffffffff,23,0
8406ca9ffffffff,4,0
8406cabffffffff,45,0
8406cadffffffff,3,0
8406cb1ffffffff,48,0
8406cb3ffffffff,6,0
8406cb5ffffffff,6,0
8406cb7ffffffff,40,0
8406cb9ffffffff,47,0
8406cbbffffffff,26,0
8406cbdffffffff,1,0
8406ce1ffffffff,14,0
8406ce5ffffffff,22,0
8406ce7ffffffff,3,0
8406ce9ffffffff,2,0
8406cedffffffff,2,0
8406d81ffffffff,2,0
8406d83ffffffff,6,0
8406d85ffffffff,3,0
8406d87ffffffff,4,0
8406d89ffffffff,3,0
8406d8bffffffff,7,0
8406d8dffffffff,4,0
8406d91ffffffff,4,0
8406d93ffffffff,4,0
8406d95ffffffff,10,0
8406d97ffffffff,3,0
8406d99ffffffff,9,0
8406d9bffffffff,3,0
8406d9dffffffff,12,0
8406da3ffffffff,1,0
8406da5ffffffff,5,0
8406da9ffffffff,5,0
8406dabffffffff,3,0
8406dadffffffff,4,0
8406db1ffffffff,2,0
8406db3ffffffff,1,0
8406db7ffffffff,2,0
8406db9ffffffff,1,0
8406dbbffffffff,8,0
8406dc1ffffffff,1,0
8406dc3ffffffff,8,0
8406dc5ffffffff,1,0
8406dc7ffffffff,5,0
8406dcbffffffff,5,0
8406dd1ffffffff,17,0
8406dd3ffffffff,11,0
8406dd5ffffffff,2,0
8406dd7ffffffff,19,0
8406dd9ffffffff,8,0
8406ddbffffffff,21,0
8406dddffffffff,10,0
8406de1ffffffff,2,0
8406de3ffffffff,1,0
8406debffffffff,2,0
8407401ffffffff,5,0
8407403ffffffff,8,0
8407405ffffffff,3,0
8407407ffffffff,5,0
8407409ffffffff,6,0
840740bffffffff,6,0
840740dffffffff,4,0
8407411ffffffff,5,0
8407413ffffffff,4,0
8407415ffffffff,11,0
8407417ffffffff,24,0
8407419ffffffff,1,0
840741dffffffff,3,0
8407421ffffffff,2,0
8407423ffffffff,6,0
8407429ffffffff,6,0
840742bffffffff,6,0
840742dffffffff,1,0
8407431ffffffff,26,0
8407433ffffffff,63,0
8407435ffffffff,6,0
8407437ffffffff,28,0
8407439ffffffff,10,0
840743bffffffff,42,0
840743dffffffff,7,0
8407443ffffffff,4,0
8407445ffffffff,2,0
8407449ffffffff,1,0
840744bffffffff,2,0
8407455ffffffff,4,0
840745dffffffff,3,0
8407461ffffffff,4,0
8407463ffffffff,3,0
8407465ffffffff,1,0
8407467ffffffff,2,0
8407469ffffffff,2,0
840746bffffffff,2,0
8407489ffffffff,4,0
840748dffffffff,5,0
84074a1ffffffff,12,0
84074a5ffffffff,16,0
84074a7ffffffff,20,0
84074a9ffffffff,12,0
84074abffffffff,4,0
84074adffffffff,18,0
84074bdffffffff,2,0
84074c1ffffffff,8,0
84074c3ffffffff,4,0
84074c5ffffffff,20,0
84074c7ffffffff,8,0
84074e1ffffffff,29,0
84074e3ffffffff,18,0
84074e5ffffffff,43,0
84074e7ffffffff,29,0
84074e9ffffffff,30,0
84074ebffffffff,28,0
84074edffffffff,37,0
8407511ffffffff,6,0
8407513ffffffff,1,0
8407515ffffffff,5,0
8407517ffffffff,4,0
8407519ffffffff,4,0
840751dffffffff,3,0
8407531ffffffff,1,0
8407533ffffffff,3,0
8407537ffffffff,2,0
8407539ffffffff,1,0
840753bffffffff,4,0
8407581ffffffff,7,0
8407583ffffffff,21,0
8407585ffffffff,3,0
8407587ffffffff,10,0
8407589ffffffff,6,0
840758bffffffff,22,0
840758dffffffff,4,0
8407591ffffffff,20,0
8407593ffffffff,21,0
8407595ffffffff,53,0
8407597ffffffff,23,0
8407599ffffffff,17,0
840759bffffffff,13,0
840759dffffffff,53,0
84075a1ffffffff,4,0
84075a3ffffffff,2,0
84075a7ffffffff,4,0
84075a9ffffffff,1,0
84075abffffffff,5,0
84075adffffffff,1,0
84075b1ffffffff,17,0
84075b3ffffffff,45,0
84075b5ffffffff,8,0
84075b7ffffffff,14,0
84075b9ffffffff,18,0
84075bbffffffff,45,0
84075bdffffffff,11,0
84075c1ffffffff,2,0
84075c3ffffffff,9,0
84075c5ffffffff,1,0
84075c7ffffffff,4,0
84075c9ffffffff,3,0
84075cbffffffff,5,0
84075d1ffffffff,84,0
84075d3ffffffff,19,0
84075d5ffffffff,21,0
84075d7ffffffff,84,0
84075d9ffffffff,75,0
84075dbffffffff,47,0
84075ddffffffff,32,0
84075e1ffffffff,3,0
84075e5ffffffff,2,0
84075e7ffffffff,1,0
84075e9ffffffff,2,0
84075ebffffffff,2,0
84075edffffffff,2,0
8407635ffffffff,1,0
8408001ffffffff,5,0
8408005ffffffff,7,0
8408007ffffffff,7,0
8408009ffffffff,5,0
840800bffffffff,5,0
840800dffffffff,7,0
8408021ffffffff,32,0
8408023ffffffff,45,0
8408025ffffffff,53,0
8408027ffffffff,45,0
8408029ffffffff,14,0
840802bffffffff,23,0
840802dffffffff,27,0
8408031ffffffff,27,0
8408033ffffffff,34,0
8408035ffffffff,59,0
8408037ffffffff,58,0
8408039ffffffff,9,0
840803bffffffff,10,0
840803dffffffff,23,0
8408041ffffffff,3,0
8408043ffffffff,2,0
8408045ffffffff,2,0
8408047ffffffff,6,0
8408049ffffffff,3,0
840804bffffffff,3,0
840804dffffffff,3,0
8408051ffffffff,2,0
8408053ffffffff,4,0
8408055ffffffff,3,0
8408057ffffffff,4,0
8408059ffffffff,1,0
840805bffffffff,1,0
840805dffffffff,1,0
8408061ffffffff,7,0
8408063ffffffff,4,0
8408065ffffffff,6,0
8408067ffffffff,7,0
8408069ffffffff,4,0
840806bffffffff,5,0
840806dffffffff,4,0
8408101ffffffff,41,0
8408103ffffffff,14,0
8408105ffffffff,20,0
