hex,count_good_aircraft,count_bad_aircraft
8401043ffffffff,2,0
8401047ffffffff,2,0
8401049ffffffff,1,0
840104dffffffff,1,0
8401059ffffffff,2,0
840105dffffffff,2,0
8401069ffffffff,2,0
840106bffffffff,2,0
8401205ffffffff,1,0
8401207ffffffff,1,0
8401215ffffffff,1,0
8401219ffffffff,1,0
8401221ffffffff,4,0
8401225ffffffff,4,0
8401227ffffffff,3,0
8401229ffffffff,1,0
840122bffffffff,3,0
8401231ffffffff,1,0
8401235ffffffff,1,0
8401239ffffffff,2,0
840123bffffffff,1,0
840123dffffffff,2,0
8401241ffffffff,1,0
8401243ffffffff,2,0
8401245ffffffff,5,1
8401247ffffffff,3,0
840124bffffffff,1,0
8401261ffffffff,5,0
8401263ffffffff,3,0
8401265ffffffff,6,0
8401267ffffffff,5,0
8401269ffffffff,5,1
840126bffffffff,5,0
840126dffffffff,5,0
84012c5ffffffff,1,0
84012cbffffffff,2,0
8401301ffffffff,1,1
8401303ffffffff,1,0
840130bffffffff,3,0
8401311ffffffff,1,0
8401313ffffffff,1,0
8401315ffffffff,2,0
8401317ffffffff,1,0
8401319ffffffff,3,0
840131bffffffff,1,0
840131dffffffff,1,0
8401351ffffffff,6,0
8401353ffffffff,2,0
8401355ffffffff,4,0
8401357ffffffff,3,0
8401359ffffffff,7,3
840135bffffffff,5,4
840135dffffffff,9,0
8403225ffffffff,1,0
8403301ffffffff,1,0
8406281ffffffff,1,0
8406289ffffffff,1,0
840628bffffffff,5,0
8406291ffffffff,3,0
8406293ffffffff,4,0
8406295ffffffff,2,0
8406297ffffffff,3,0
8406299ffffffff,6,0
840629bffffffff,7,0
840629dffffffff,2,0
84062c1ffffffff,1,0
84062c3ffffffff,5,0
84062cbffffffff,3,0
84062d1ffffffff,15,0
84062d3ffffffff,7,0
84062d5ffffffff,15,0
84062d7ffffffff,6,0
84062d9ffffffff,13,0
84062dbffffffff,5,0
84062ddffffffff,7,0
8406601ffffffff,5,0
8406605ffffffff,20,0
8406607ffffffff,4,0
8406609ffffffff,26,0
840660dffffffff,29,0
8406621ffffffff,27,0
8406625ffffffff,10,0
8406627ffffffff,6,0
8406629ffffffff,26,0
840662bffffffff,13,0
840662dffffffff,22,0
8406631ffffffff,1,0
840663dffffffff,2,0
8406641ffffffff,12,0
8406643ffffffff,16,0
8406645ffffffff,14,0
8406647ffffffff,15,0
8406649ffffffff,5,0
840664bffffffff,2,0
840664dffffffff,20,0
8406655ffffffff,1,0
8406661ffffffff,26,0
8406663ffffffff,15,0
8406665ffffffff,24,0
8406667ffffffff,22,0
8406669ffffffff,26,0
840666bffffffff,21,0
840666dffffffff,19,0
8406703ffffffff,15,0
840670bffffffff,4,0
8406715ffffffff,7,0
8406719ffffffff,2,0
840671dffffffff,27,0
8406743ffffffff,7,0
8406749ffffffff,1,0
840674bffffffff,9,0
8406751ffffffff,27,0
8406753ffffffff,3,0
8406755ffffffff,3,0
8406757ffffffff,31,0
8406759ffffffff,18,0
840675bffffffff,16,0
840675dffffffff,8,0
8406c37ffffffff,2,0
8406c83ffffffff,4,0
8406c85ffffffff,7,0
8406c95ffffffff,5,0
8406c9dffffffff,4,0
8406ca3ffffffff,5,0
8406ca5ffffffff,1,0
8406ca9ffffffff,2,0
8406cabffffffff,7,0
8406cadffffffff,2,0
8406cb1ffffffff,5,0
8406cb3ffffffff,3,0
8406cb5ffffffff,1,0
8406cb7ffffffff,3,0
8406cb9ffffffff,5,0
8406cbbffffffff,4,0
8406cbdffffffff,1,0
8406ce1ffffffff,2,0
8406ce5ffffffff,2,0
8406ce7ffffffff,3,0
8406d81ffffffff,4,0
8406d85ffffffff,5,0
8406d87ffffffff,3,0
8406d89ffffffff,3,0
8406d8bffffffff,1,0
8406d8dffffffff,3,0
8406d91ffffffff,1,0
8406d95ffffffff,1,0
8406d97ffffffff,1,0
8406d99ffffffff,1,0
8406d9dffffffff,1,0
8406da3ffffffff,1,0
8406da9ffffffff,2,0
8406dabffffffff,4,0
8406db1ffffffff,1,0
8406db9ffffffff,1,0
8406dbbffffffff,1,0
8406dc3ffffffff,3,0
8406dc7ffffffff,3,0
8406dcbffffffff,4,0
8406dd1ffffffff,7,0
8406dd3ffffffff,2,0
8406dd7ffffffff,2,0
8406dd9ffffffff,2,0
8406ddbffffffff,7,0
8406dddffffffff,7,0
8406de3ffffffff,1,0
